PubId,Town Name,State,Subdomain,Full Region,WBS Code,Publish Date,DMA,Lat,Lng,Zip Codes
71,San Rafael,CA,sanrafael,PATCHUS_NCA2 PATCHUS_NCA3_REG3 PATCHUS_NCA3_REG3_CLS1,US_CA_SANRAFAEL,6/27/10,sanfrancisco,37.998973,-122.499987,"94901, 94903"
72,South San Francisco,CA,southsanfrancisco,PATCHUS_NCA3 PATCHUS_NCA3_REG1 PATCHUS_NCA3_REG1_CLS1,US_CA_SOUTHSANFRANCISCO,9/8/10,sanfrancisco,37.630334,-122.390766,94080
73,Novato,CA,novato,PATCHUS_NCA2 PATCHUS_NCA3_REG3 PATCHUS_NCA3_REG3_CLS1,US_CA_NOVATO,11/16/10,sanfrancisco,38.124269,-122.531935,"94945, 94947, 94949"
75,Laguna Beach,CA,lagunabeach,PATCHUS_SCA4 PATCHUS_SCA2_REG2 PATCHUS_SCA2_REG2_CLS1,US_CA_LAGUNABEACH,12/11/10,losangeles,33.547788,-117.774753,92651
76,San Juan Capistrano,CA,sanjuancapistrano,PATCHUS_SCA4 PATCHUS_SCA3_REG1 PATCHUS_SCA3_REG1_CLS3,US_CA_SANJUANCAPISTRANO,12/8/10,losangeles,33.5068,-117.649357,92675
79,Aliso Viejo,CA,alisoviejo,PATCHUS_SCA4 PATCHUS_SCA3_REG1 PATCHUS_SCA3_REG1_CLS4,US_CA_ALISOVIEJO,12/29/10,losangeles,33.57702,-117.727022,"92656, 92653"
81,Needham,MA,needham,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS5,US_MA_NEEDHAM,3/24/10,boston,42.285464,-71.244597,"02492, 02494"
82,Milton,MA,milton,PATCHUS_CNE1 PATCHUS_CNE3_REG1 PATCHUS_CNE3_REG1_CLS1,US_MA_MILTON,5/17/10,boston,42.239238,-71.081149,2186
83,Belmont,MA,belmont,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS3,US_MA_BELMONT,4/27/10,boston,42.395332,-71.181628,2478
84,Concord,MA,concord,PATCHUS_BOS1 PATCHUS_BOS1_REG2 PATCHUS_BOS1_REG2_CLS1,US_MA_CONCORD,5/27/10,boston,42.458627,-71.359663,1742
