School Year,Division,School,Subject Area,Pass Rate
2011-2012,Fairfax County ,Fairfax Villa Elementary,Mathematics,79.17%
2011-2012,Halifax County ,Halifax County Middle,Mathematics,53.17%
2011-2012,Richmond City ,Southampton Elementary,Mathematics,67.61%
2011-2012,Richmond City ,G.H. Reid Elementary,Mathematics,51.45%
2011-2012,Fairfax County ,Langley High,Mathematics,86.40%
2011-2012,Fairfax County ,Forestdale Elementary,Mathematics,44.03%
2011-2012,Fairfax County ,Kings Park Elementary,Mathematics,62.42%
2011-2012,Lexington City ,Lylburn Downing Middle,Mathematics,80.54%
2011-2012,Richmond City ,E.S.H. Greene Elementary,Mathematics,66.67%
2011-2012,Fairfax County ,West Springfield Elementary,Mathematics,90.50%
2011-2012,Fairfax County ,Hybla Valley Elementary,Mathematics,63.50%
2011-2012,Fairfax County ,Frost Middle,Mathematics,91.12%
2011-2012,Newport News City ,General Stanford Elementary,Mathematics,65.94%
2011-2012,Newport News City ,Achievable Dream Academy,Mathematics,53.43%
2011-2012,Fairfax County ,Little Run Elementary,Mathematics,77.60%
2011-2012,Newport News City ,Mary Passage Middle,Mathematics,46.44%
2011-2012,Portsmouth City ,James Hurst Elementary,Mathematics,60.33%
2011-2012,Richmond City ,Elizabeth D. Redd Elementary,Mathematics,54.65%
2011-2012,Newport News City ,Woodside High,Mathematics,45.35%
2011-2012,Newport News City ,Crittenden Middle,Mathematics,57.93%
2011-2012,Fairfax County ,Mosby Woods Elementary,Mathematics,86.40%
2011-2012,Lexington City ,Harrington Waddell Elementary,Mathematics,79.14%
2011-2012,Fairfax County ,Stenwood Elementary,Mathematics,82.33%
2011-2012,Franklin County ,Rocky Mount Elementary,Mathematics,73.49%
2011-2012,Danville City ,Galileo Magnet High,Mathematics,77.33%
2011-2012,Danville City ,Westwood Middle,Mathematics,69.85%
2011-2012,Fairfax County ,Thomas Jefferson High for Science and Technology,Mathematics,100.00%
2011-2012,Franklin County ,Boones Mill Elementary,Mathematics,83.53%
2011-2012,Fairfax County ,Annandale Terrace Elementary,Mathematics,48.06%
2011-2012,Franklin County ,Ferrum Elementary,Mathematics,68.18%
2011-2012,Fairfax County ,Stratford Landing Elementary,Mathematics,85.92%
2011-2012,Fairfax County ,Hollin Meadows Elementary,Mathematics,71.96%
2011-2012,Fairfax County ,Washington Mill Elementary,Mathematics,66.35%
2011-2012,Franklin County ,Burnt Chimney Elementary,Mathematics,87.58%
2011-2012,Fairfax County ,Ravensworth Elementary,Mathematics,74.92%
2011-2012,Fairfax County ,Sandburg Middle,Mathematics,70.75%
2011-2012,Fairfax County ,Marshall High,Mathematics,78.84%
2011-2012,Newport News City ,Kiln Creek Elementary,Mathematics,74.05%
2011-2012,Fairfax County ,Edison High,Mathematics,53.52%
2011-2012,Newport News City ,Homer L. Hines Middle,Mathematics,65.28%
2011-2012,Fairfax County ,Woodson High,Mathematics,79.88%
2011-2012,Newport News City ,Ethel M. Gildersleeve Middle,Mathematics,73.31%
2011-2012,Fairfax County ,Herndon Elementary,Mathematics,60.10%
2011-2012,Fairfax County ,Keene Mill Elementary,Mathematics,92.81%
2011-2012,Newport News City ,Horace H. Epes Elementary,Mathematics,40.70%
2011-2012,Carroll County ,Carroll County High,Mathematics,54.29%
2011-2012,Newport News City ,Richneck Elementary,Mathematics,58.68%
2011-2012,Newport News City ,Menchville High,Mathematics,44.48%
2011-2012,Bedford County ,Goodview Elementary,Mathematics,49.61%
2011-2012,Bedford County ,Thomas Jefferson Elementary,Mathematics,62.46%
2011-2012,Falls Church City ,Thomas Jefferson Elementary,Mathematics,87.92%
2011-2012,Louisa County ,Thomas Jefferson Elementary,Mathematics,60.89%
2011-2012,Bedford County ,Jefferson Forest High,Mathematics,57.12%
2011-2012,Bedford County ,Forest Middle,Mathematics,70.11%
2011-2012,Carroll County ,Gladeville Elementary School,Mathematics,63.70%
2011-2012,Fairfax County ,Mantua Elementary,Mathematics,86.51%
2011-2012,Newport News City ,Hidenwood Elementary,Mathematics,55.19%
2011-2012,Fairfax County ,Marshall Road Elementary,Mathematics,82.11%
2011-2012,Bedford County ,Staunton River Middle,Mathematics,44.39%
2011-2012,Bedford County ,Staunton River High,Mathematics,36.63%
2011-2012,Fairfax County ,Cooper Middle,Mathematics,91.59%
2011-2012,Bedford County ,Liberty High,Mathematics,37.53%
2011-2012,Carroll County ,Fancy Gap Elementary School,Mathematics,86.42%
2011-2012,Fauquier County ,Liberty High,Mathematics,56.42%
2011-2012,Newport News City ,Lee Hall Elementary,Mathematics,51.24%
2011-2012,Bedford County ,Otter River Elementary,Mathematics,60.18%
2011-2012,Carroll County ,Hillsville Elementary School,Mathematics,57.01%
2011-2012,Fairfax County ,Glasgow Middle,Mathematics,57.26%
2011-2012,Franklin County ,Snow Creek Elementary,Mathematics,87.76%
2011-2012,Bedford County ,Body Camp Elementary,Mathematics,40.28%
2011-2012,Carroll County ,Laurel Elementary School,Mathematics,54.55%
2011-2012,Fairfax County ,Twain Middle,Mathematics,70.45%
2011-2012,Carroll County ,Gladesboro Elementary School,Mathematics,39.66%
2011-2012,Fairfax County ,Longfellow Middle,Mathematics,92.26%
2011-2012,Fairfax County ,Thoreau Middle,Mathematics,89.11%
2011-2012,Carroll County ,Oakland Elementary School,Mathematics,40.00%
2011-2012,Fairfax County ,Poe Middle,Mathematics,64.25%
2011-2012,Pittsylvania County ,Tunstall Middle,Mathematics,74.25%
2011-2012,Portsmouth City ,Cradock Middle,Mathematics,53.08%
2011-2012,Fairfax County ,Irving Middle,Mathematics,84.64%
2011-2012,Newport News City ,Newsome Park Elementary,Mathematics,33.98%
2011-2012,Carroll County ,St. Paul School,Mathematics,63.47%
2011-2012,Fairfax County ,Lanier Middle,Mathematics,73.63%
2011-2012,Washington County ,E.B. Stanley Middle,Mathematics,62.09%
2011-2012,Lynchburg City ,Heritage Elementary,Mathematics,42.54%
2011-2012,Fairfax County ,Falls Church High,Mathematics,61.73%
2011-2012,Richmond City ,Broad Rock Elementary,Mathematics,89.73%
2011-2012,Fairfax County ,Braddock Elementary,Mathematics,59.67%
2011-2012,Pittsylvania County ,Dan River Middle,Mathematics,68.76%
2011-2012,Washington County ,Glade Spring Middle,Mathematics,71.75%
2011-2012,Fairfax County ,Waynewood Elementary,Mathematics,82.52%
2011-2012,Newport News City ,Hilton Elementary,Mathematics,82.21%
2011-2012,Richmond City ,Elkhardt Middle,Mathematics,36.62%
2011-2012,Scott County ,Hilton Elementary,Mathematics,63.10%
2011-2012,Wythe County ,Scott Memorial Middle,Mathematics,57.18%
2011-2012,Wythe County ,Rural Retreat Middle,Mathematics,55.20%
2011-2012,Rockingham County ,Peak View Elementary,Mathematics,83.33%
2011-2012,Wythe County ,Fort Chiswell Middle,Mathematics,44.27%
2011-2012,Rockingham County ,John C. Myers Elementary,Mathematics,60.39%
2011-2012,Fairfax County ,Stuart High,Mathematics,41.44%
2011-2012,Newport News City ,Warwick High,Mathematics,39.33%
2011-2012,Washington County ,High Point Elementary,Mathematics,52.26%
2011-2012,Albemarle County ,Albemarle County Community Public Charter School,Mathematics,97.37%
2011-2012,Fairfax County ,Madison High,Mathematics,78.61%
2011-2012,Prince William County ,Patriot High,Mathematics,66.63%
2011-2012,Washington County ,Holston High,Mathematics,55.27%
2011-2012,Albemarle County ,Baker-Butler Elementary,Mathematics,65.09%
2011-2012,Albemarle County ,Monticello High,Mathematics,53.29%
2011-2012,Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,87.78%
2011-2012,Fairfax County ,Churchill Road Elementary,Mathematics,89.71%
2011-2012,Buchanan County ,Twin Valley High,Mathematics,52.61%
2011-2012,Alleghany County ,Mountain View Elementary,Mathematics,47.84%
