School Year,Division,School,Subject Area,Pass Rate
2011-2012,Isle of Wight County ,Carrsville Elementary,Mathematics,85.00%
2011-2012,King and Queen County ,Central High,Mathematics,33.80%
2011-2012,Loudoun County ,Sycolin Creek Elementary,Mathematics,72.19%
2011-2012,Lunenburg County ,Central High,Mathematics,41.71%
2011-2012,Newport News City ,Denbigh High,Mathematics,24.54%
2011-2012,Pittsylvania County ,Gretna Elementary,Mathematics,76.73%
2011-2012,Powhatan County ,Pocahontas Middle,Mathematics,68.61%
2011-2012,Prince George County ,William A. Walton Elementary,Mathematics,65.98%
2011-2012,Prince William County ,Dumfries Elementary,Mathematics,63.76%
2011-2012,Roanoke City ,Addison Aerospace Magnet Middle,Mathematics,65.17%
2011-2012,Shenandoah County ,Central High,Mathematics,65.47%
2011-2012,Stafford County ,Falmouth Elementary,Mathematics,76.49%
2011-2012,Virginia Beach City ,Bayside Elementary,Mathematics,64.09%
2011-2012,West Point ,West Point Elementary,Mathematics,83.02%
2011-2012,Wise County ,Central High,Mathematics,66.60%
2011-2012,Fredericksburg City ,Walker-Grant Middle,Mathematics,63.47%
2011-2012,Fredericksburg City ,Lafayette Upper Elementary,Mathematics,62.99%
2011-2012,Dickenson County ,Clintwood High,Mathematics,41.76%
2011-2012,Chesterfield County ,Swift Creek Middle,Mathematics,78.10%
2011-2012,Gloucester County ,Petsworth Elementary,Mathematics,68.66%
2011-2012,Hampton City ,John B. Cary Elementary,Mathematics,32.28%
2011-2012,Henrico County ,Nuckols Farm Elementary,Mathematics,93.18%
2011-2012,Lynchburg City ,Perrymont Elementary,Mathematics,48.08%
2011-2012,Newport News City ,Richard T. Yates Elementary,Mathematics,57.79%
2011-2012,Prince William County ,Suella G. Ellis Elementary,Mathematics,67.77%
2011-2012,Richmond City ,John B. Cary Elementary,Mathematics,69.05%
2011-2012,Stafford County ,Grafton Village Elementary,Mathematics,72.60%
2011-2012,Warren County ,Warren County Middle,Mathematics,67.99%
2011-2012,Alexandria City ,Francis Hammond 3 Middle,Mathematics,43.35%
2011-2012,Appomattox County ,Appomattox County High,Mathematics,45.65%
2011-2012,Covington City ,Edgemont Primary,Mathematics,59.42%
2011-2012,Danville City ,O. Trent Bonner Middle,Mathematics,74.54%
2011-2012,Fairfax County ,Clearview Elementary,Mathematics,76.11%
2011-2012,Fluvanna County ,Fluvanna County High,Mathematics,72.76%
2011-2012,Gloucester County ,Gloucester High,Mathematics,40.53%
2011-2012,Greensville County ,Belfield Elementary,Mathematics,75.90%
2011-2012,Hampton City ,Alfred S. Forrest Elementary,Mathematics,53.22%
2011-2012,Prince William County ,Occoquan Elementary,Mathematics,71.22%
2011-2012,Scott County ,Rye Cove High,Mathematics,72.73%
2011-2012,Stafford County ,Anne E. Moncure Elementary,Mathematics,69.75%
2011-2012,Washington County ,Greendale Elementary,Mathematics,87.79%
2011-2012,Falls Church City ,Mary Ellen Henderson Middle,Mathematics,88.27%
2011-2012,Falls Church City ,George Mason High,Mathematics,81.89%
2011-2012,Albemarle County ,Meriwether Lewis Elementary,Mathematics,85.12%
2011-2012,Alexandria City ,Francis Hammond 2 Middle,Mathematics,52.98%
2011-2012,Arlington County ,Barrett Elementary,Mathematics,77.12%
2011-2012,Clarke County ,Boyce Elementary,Mathematics,55.36%
2011-2012,Danville City ,Park Avenue Elementary,Mathematics,62.83%
2011-2012,Dinwiddie County ,Midway Elementary,Mathematics,83.42%
2011-2012,Fairfax County ,Terraset Elementary,Mathematics,68.98%
2011-2012,Hampton City ,Jane H. Bryan Elementary,Mathematics,29.41%
2011-2012,Henrico County ,L. Douglas Wilder Middle,Mathematics,33.79%
2011-2012,Isle of Wight County ,Windsor High,Mathematics,41.85%
2011-2012,Loudoun County ,Potowmack Elementary,Mathematics,76.74%
2011-2012,Lynchburg City ,William M. Bass Elementary,Mathematics,42.72%
2011-2012,Newport News City ,Sedgefield Elementary,Mathematics,32.94%
2011-2012,Norfolk City ,Bay View Elementary,Mathematics,64.26%
2011-2012,Smyth County ,Northwood High,Mathematics,47.40%
2011-2012,Stafford County ,Hartwood Elementary,Mathematics,80.44%
2011-2012,Warren County ,Skyline High,Mathematics,49.13%
2011-2012,Albemarle County ,Stony Point Elementary,Mathematics,77.34%
2011-2012,Alexandria City ,George Washington 2 Middle,Mathematics,48.31%
2011-2012,Amherst County ,Pleasant View Elementary,Mathematics,37.21%
2011-2012,Arlington County ,Swanson Middle,Mathematics,86.62%
2011-2012,Culpeper County ,A.G. Richardson Elementary,Mathematics,68.25%
2011-2012,Gloucester County ,Achilles Elementary,Mathematics,86.98%
2011-2012,Henrico County ,Rivers Edge Elementary,Mathematics,89.18%
2011-2012,Isle of Wight County ,Windsor Elementary,Mathematics,69.82%
2011-2012,Loudoun County ,Sanders Corner Elementary,Mathematics,77.74%
2011-2012,Lunenburg County ,Kenbridge Elementary,Mathematics,56.08%
2011-2012,Portsmouth City ,I.C. Norcom High,Mathematics,23.44%
2011-2012,Rappahannock County ,Rappahannock County Elementary,Mathematics,60.76%
2011-2012,Roanoke City ,Preston Park Elementary,Mathematics,79.12%
2011-2012,Suffolk City ,Nansemond River High,Mathematics,48.45%
2011-2012,Warren County ,Ressie Jeffries Elementary,Mathematics,58.72%
2011-2012,Bland County ,Bland Elementary,Mathematics,59.64%
2011-2012,Roanoke County ,William Byrd Middle,Mathematics,85.43%
2011-2012,Bland County ,Bland High,Mathematics,45.65%
2011-2012,Powhatan County ,Pocahontas Elementary,Mathematics,60.75%
2011-2012,Prince William County ,Mary G. Porter Traditional,Mathematics,90.47%
2011-2012,Alexandria City ,John Adams Elementary,Mathematics,50.34%
2011-2012,Henrico County ,Springfield Park Elementary,Mathematics,84.49%
2011-2012,Loudoun County ,Hamilton Elementary,Mathematics,81.58%
2011-2012,Rappahannock County ,Rappahannock County High,Mathematics,51.80%
2011-2012,Richmond City ,Ginter Park Elementary,Mathematics,36.44%
2011-2012,Stafford County ,Ferry Farm Elementary,Mathematics,69.15%
2011-2012,Suffolk City ,Kilby Shores Elementary,Mathematics,68.48%
2011-2012,Virginia Beach City ,Creeds Elementary,Mathematics,67.48%
2011-2012,Warren County ,Warren County High,Mathematics,53.93%
2011-2012,York County ,Tabb High,Mathematics,70.18%
2011-2012,Campbell County ,Rustburg High,Mathematics,35.28%
2011-2012,Madison County ,William H. Wetsel Middle,Mathematics,54.66%
2011-2012,Madison County ,Madison County High,Mathematics,43.66%
2011-2012,Alexandria City ,James K. Polk Elementary,Mathematics,56.98%
2011-2012,Amelia County ,Amelia County Elementary,Mathematics,62.96%
2011-2012,Botetourt County ,Breckinridge Elementary,Mathematics,73.60%
2011-2012,Danville City ,Woodberry Hills Elementary,Mathematics,71.54%
2011-2012,Fairfax County ,Dogwood Elementary,Mathematics,65.33%
2011-2012,Goochland County ,Goochland High,Mathematics,55.59%
2011-2012,Henrico County ,Sandston Elementary,Mathematics,55.13%
2011-2012,Henry County ,Sanville Elementary,Mathematics,69.23%
2011-2012,Highland County ,Highland High,Mathematics,56.82%
2011-2012,Loudoun County ,Ball's Bluff Elementary,Mathematics,62.03%
2011-2012,Norfolk City ,Chesterfield Academy Elementary,Mathematics,61.09%
2011-2012,Prince William County ,J.W. Alvey Elementary,Mathematics,81.82%
2011-2012,Roanoke City ,Roanoke Academy For Mathematics & Science Elementary,Mathematics,65.81%
2011-2012,Scott County ,Nickelsville Elementary,Mathematics,77.93%
2011-2012,Spotsylvania County ,Post Oak Middle,Mathematics,68.67%
2011-2012,Suffolk City ,Nansemond Parkway Elementary,Mathematics,71.33%
2011-2012,York County ,Waller Mill Elementary,Mathematics,80.00%
2011-2012,Augusta County ,Beverley Manor Middle,Mathematics,58.85%
2011-2012,Arlington County ,Tuckahoe Elementary,Mathematics,86.58%
2011-2012,Campbell County ,Rustburg Middle,Mathematics,46.47%
2011-2012,Henrico County ,Tuckahoe Elementary,Mathematics,83.77%
2011-2012,Petersburg City ,Vernon Johns Junior High,Mathematics,55.25%
2011-2012,Alexandria City ,T.C. Williams High,Mathematics,48.22%
2011-2012,Amelia County ,Amelia County Middle,Mathematics,61.36%
2011-2012,Augusta County ,Beverley Manor Elementary,Mathematics,68.79%
2011-2012,Charlotte County ,Central Middle,Mathematics,70.72%
2011-2012,Chesapeake City ,Deep Creek Elementary,Mathematics,64.44%
2011-2012,Danville City ,George Washington High,Mathematics,58.21%
2011-2012,Hanover County ,Laurel Meadow Elementary,Mathematics,78.01%
2011-2012,Henrico County ,Montrose Elementary,Mathematics,42.93%
2011-2012,Lancaster County ,Lancaster Primary,Mathematics,45.35%
2011-2012,Loudoun County ,Farmwell Station Middle,Mathematics,83.05%
2011-2012,Montgomery County ,Prices Fork Elementary,Mathematics,65.69%
2011-2012,Norfolk City ,Larchmont Elementary,Mathematics,86.64%
2011-2012,Northumberland County ,Northumberland Middle,Mathematics,69.21%
2011-2012,Page County ,Stanley Elementary,Mathematics,64.35%
2011-2012,Portsmouth City ,Westhaven Elementary,Mathematics,56.00%
2011-2012,Richmond City ,Swansboro Elementary,Mathematics,62.31%
2011-2012,Richmond County ,Rappahannock High,Mathematics,60.63%
2011-2012,Roanoke City ,Breckinridge Middle,Mathematics,55.96%
2011-2012,Suffolk City ,Elephant's Fork Elementary,Mathematics,70.94%
2011-2012,Westmoreland County ,Cople Elementary,Mathematics,57.23%
2011-2012,York County ,Yorktown Elementary,Mathematics,75.32%
2011-2012,Williamsburg-James City County ,Matoaka Elementary,Mathematics,88.22%
2011-2012,Williamsburg-James City County ,Warhill High,Mathematics,61.94%
2011-2012,Williamsburg-James City County ,Stonehouse Elementary,Mathematics,80.39%
2011-2012,Williamsburg-James City County ,Jamestown High,Mathematics,69.46%
2011-2012,Wythe County ,Rural Retreat High,Mathematics,42.62%
2011-2012,Williamsburg-James City County ,James River Elementary,Mathematics,72.20%
2011-2012,Wythe County ,Rural Retreat Elementary,Mathematics,62.50%
2011-2012,Arlington County ,Drew Model Elementary,Mathematics,62.90%
2011-2012,Campbell County ,Altavista High,Mathematics,61.43%
2011-2012,Fairfax County ,Centreville High,Mathematics,68.85%
2011-2012,Greensville County ,Greensville County High,Mathematics,50.00%
2011-2012,Hanover County ,Kersey Creek Elementary,Mathematics,81.33%
2011-2012,Henrico County ,Fair Oaks Elementary,Mathematics,59.43%
2011-2012,King and Queen County ,King & Queen Elementary,Mathematics,65.75%
2011-2012,Lee County ,St. Charles Elementary,Mathematics,75.86%
2011-2012,Loudoun County ,Tuscarora High,Mathematics,51.82%
2011-2012,Madison County ,Waverly Yowell Elementary,Mathematics,63.98%
2011-2012,Petersburg City ,Petersburg High,Mathematics,37.95%
2011-2012,Prince William County ,Ashland Elementary,Mathematics,74.22%
2011-2012,Richmond City ,William Fox Elementary,Mathematics,83.65%
2011-2012,York County ,Queens Lake Middle,Mathematics,77.56%
2011-2012,Harrisonburg City ,Stone Spring Elementary,Mathematics,67.69%
2011-2012,Williamsburg-James City County ,Lois Hornsby Middle,Mathematics,83.04%
2011-2012,Alexandria City ,William Ramsay Elementary,Mathematics,49.20%
2011-2012,Danville City ,G.L.H. Johnson Elementary,Mathematics,62.39%
2011-2012,Greensville County ,Edward W. Wyatt Middle,Mathematics,60.13%
2011-2012,Henrico County ,Highland Springs High,Mathematics,34.64%
2011-2012,Loudoun County ,Evergreen Mill Elementary,Mathematics,57.64%
2011-2012,Lynchburg City ,Robert S. Payne Elementary,Mathematics,67.20%
2011-2012,Mathews County ,Mathews High,Mathematics,44.58%
2011-2012,Mecklenburg County ,South Hill Elementary,Mathematics,62.03%
2011-2012,Norfolk City ,Ocean View Elementary,Mathematics,67.45%
2011-2012,Portsmouth City ,Douglass Park Elementary,Mathematics,52.98%
2011-2012,Richmond County ,Richmond County Intermediate,Mathematics,79.40%
2011-2012,Williamsburg-James City County ,J. Blaine Blayton Elementary,Mathematics,76.64%
2011-2012,Wythe County ,Spiller Elementary,Mathematics,61.42%
2011-2012,York County ,Tabb Middle,Mathematics,90.48%
2011-2012,Arlington County ,Jefferson Middle,Mathematics,69.02%
2011-2012,Bedford County ,Montvale Elementary,Mathematics,65.41%
2011-2012,Chesterfield County ,Grange Hall Elementary,Mathematics,83.67%
2011-2012,Dinwiddie County ,Sunnyside Elementary,Mathematics,64.86%
2011-2012,Hampton City ,Samuel P. Langley Elementary,Mathematics,65.29%
2011-2012,King William County ,Acquinton Elementary,Mathematics,66.33%
2011-2012,Loudoun County ,Round Hill Elementary,Mathematics,81.75%
2011-2012,New Kent County ,George W. Watkins Elementary,Mathematics,64.92%
2011-2012,Norfolk City ,Lafayette-Winona Middle,Mathematics,44.22%
2011-2012,Petersburg City ,J.E.B. Stuart Elementary,Mathematics,61.20%
2011-2012,Prince William County ,Lake Ridge Elementary,Mathematics,68.32%
2011-2012,Richmond City ,J.E.B. Stuart Elementary,Mathematics,68.79%
2011-2012,Roanoke City ,Round Hill Elementary,Mathematics,67.33%
2011-2012,Roanoke County ,Burlington Elementary,Mathematics,69.63%
2011-2012,York County ,Bethel Manor Elementary,Mathematics,86.09%
2011-2012,Lunenburg County ,Lunenburg Middle,Mathematics,56.69%
2011-2012,Alexandria City ,Francis C. Hammond Middle,Mathematics,53.68%
2011-2012,Fairfax County ,Terra Centre Elementary,Mathematics,75.81%
2011-2012,Loudoun County ,Ashburn Elementary,Mathematics,80.59%
2011-2012,Petersburg City ,Robert E. Lee Elementary,Mathematics,58.33%
2011-2012,Prince William County ,Potomac Middle,Mathematics,66.20%
2011-2012,Richmond City ,Blackwell Elementary,Mathematics,47.32%
2011-2012,Spotsylvania County ,Robert E. Lee Elementary,Mathematics,74.62%
2011-2012,York County ,Seaford Elementary,Mathematics,83.75%
2011-2012,Hanover County ,John M. Gandy Elementary,Mathematics,84.44%
2011-2012,Stafford County ,T. Benton Gayle Middle,Mathematics,80.56%
2011-2012,Albemarle County ,Agnor-Hurt Elementary,Mathematics,55.38%
2011-2012,Alexandria City ,Cora Kelly Magnet Elementary,Mathematics,71.25%
2011-2012,Appomattox County ,Appomattox Middle,Mathematics,63.62%
2011-2012,Arlington County ,Henry Elementary,Mathematics,84.66%
2011-2012,Bedford County ,Boonsboro Elementary,Mathematics,57.96%
2011-2012,Chesapeake City ,Norfolk Highlands Primary,Mathematics,67.57%
2011-2012,Essex County ,Tappahannock Elementary,Mathematics,66.94%
2011-2012,Franklin County ,Henry Elementary,Mathematics,69.70%
2011-2012,Hampton City ,Aberdeen Elementary,Mathematics,59.74%
2011-2012,Henrico County ,Deep Run High,Mathematics,80.31%
2011-2012,King William County ,Hamilton Holmes Middle,Mathematics,70.29%
2011-2012,Lee County ,Dryden Elementary,Mathematics,37.67%
2011-2012,Portsmouth City ,Churchland Primary & Intermediate,Mathematics,70.06%
2011-2012,Prince William County ,Martin Luther King Jr. Elementary,Mathematics,72.90%
2011-2012,York County ,Dare Elementary,Mathematics,79.45%
2011-2012,Cumberland County ,Cumberland Middle,Mathematics,54.09%
2011-2012,Cumberland County ,Cumberland High,Mathematics,35.84%
2011-2012,Albemarle County ,Paul H. Cale Elementary,Mathematics,60.15%
2011-2012,Arlington County ,Barcroft Elementary,Mathematics,69.03%
2011-2012,Bath County ,Valley Elementary,Mathematics,55.63%
2011-2012,Chesterfield County ,Clover Hill Elementary,Mathematics,72.46%
2011-2012,Essex County ,Essex Intermediate,Mathematics,56.26%
2011-2012,Fairfax County ,Orange Hunt Elementary,Mathematics,80.77%
2011-2012,Henrico County ,Gayton Elementary,Mathematics,89.12%
2011-2012,Loudoun County ,Algonkian Elementary,Mathematics,67.87%
2011-2012,Newport News City ,Oliver C. Greenwood Elementary,Mathematics,69.88%
2011-2012,Norfolk City ,Walter Herron Taylor Elementary,Mathematics,71.50%
2011-2012,Poquoson City ,Poquoson Elementary,Mathematics,64.59%
2011-2012,Prince William County ,Nokesville Elementary,Mathematics,68.70%
2011-2012,Roanoke City ,Woodrow Wilson Middle,Mathematics,63.10%
2011-2012,Albemarle County ,Western Albemarle High,Mathematics,77.28%
2011-2012,Augusta County ,Churchville Elementary,Mathematics,56.88%
2011-2012,Bath County ,Bath County High,Mathematics,53.85%
2011-2012,Charlottesville City ,Charlottesville High,Mathematics,48.11%
2011-2012,Cumberland County ,Cumberland Elementary,Mathematics,43.18%
2011-2012,Fairfax County ,Oakton Elementary,Mathematics,84.76%
2011-2012,Henrico County ,Mills E. Godwin High,Mathematics,78.72%
2011-2012,Hopewell City ,Harry E. James Elementary,Mathematics,54.95%
2011-2012,Loudoun County ,Potomac Falls High,Mathematics,63.19%
2011-2012,Lunenburg County ,Victoria Elementary,Mathematics,56.04%
2011-2012,Middlesex County ,St. Clare Walker Middle,Mathematics,81.71%
2011-2012,Prince William County ,Potomac High,Mathematics,38.21%
2011-2012,Russell County ,Lebanon High,Mathematics,60.59%
2011-2012,Virginia Beach City ,Virginia Beach Middle,Mathematics,66.16%
2011-2012,Warren County ,E. Wilson Morrison Elementary,Mathematics,68.93%
2011-2012,York County ,Grafton Bethel Elementary,Mathematics,75.38%
2011-2012,Danville City ,JM Langston Focus School,Mathematics,17.56%
2011-2012,Fairfax County ,Chantilly High,Mathematics,76.94%
2011-2012,Norfolk City ,James Monroe Elementary,Mathematics,53.62%
2011-2012,Campbell County ,Concord Elementary,Mathematics,62.69%
2011-2012,Chesterfield County ,Beulah Elementary,Mathematics,70.91%
2011-2012,Henrico County ,John Rolfe Middle,Mathematics,49.53%
2011-2012,King William County ,King William High,Mathematics,51.72%
2011-2012,Loudoun County ,Lucketts Elementary,Mathematics,80.95%
2011-2012,Petersburg City ,Walnut Hill Elementary,Mathematics,48.10%
2011-2012,Poquoson City ,Poquoson Middle,Mathematics,74.64%
2011-2012,Powhatan County ,Powhatan Junior High,Mathematics,62.96%
2011-2012,Prince William County ,John F. Pattie Sr. Elementary,Mathematics,72.42%
2011-2012,Richmond City ,Overby-Sheppard Elementary,Mathematics,57.14%
2011-2012,Virginia Beach City ,W.T. Cooke Elementary,Mathematics,74.57%
2011-2012,York County ,Magruder Elementary,Mathematics,82.25%
2011-2012,Petersburg City ,Peabody Middle,Mathematics,43.11%
2011-2012,Alexandria City ,Charles Barrett Elementary,Mathematics,65.56%
2011-2012,Bath County ,Millboro Elementary,Mathematics,57.53%
2011-2012,Buchanan County ,Hurley Elementary/Middle,Mathematics,54.05%
2011-2012,Charlottesville City ,Jackson-Via Elementary,Mathematics,69.70%
2011-2012,Chesapeake City ,Great Bridge High,Mathematics,62.91%
2011-2012,Dickenson County ,Haysi High,Mathematics,47.67%
2011-2012,Fairfax County ,Vienna Elementary,Mathematics,91.04%
2011-2012,Fauquier County ,Claude Thompson Elementary,Mathematics,57.58%
2011-2012,Goochland County ,Byrd Elementary,Mathematics,65.84%
2011-2012,Henrico County ,Cashell Donahoe Elementary,Mathematics,53.02%
2011-2012,Hopewell City ,Hopewell High,Mathematics,27.63%
2011-2012,King George County ,King George High,Mathematics,61.24%
2011-2012,Prince William County ,Enterprise Elementary,Mathematics,57.96%
2011-2012,Smyth County ,Northwood Middle,Mathematics,63.18%
2011-2012,Westmoreland County ,Washington & Lee High,Mathematics,32.95%
2011-2012,Stafford County ,Stafford Middle,Mathematics,68.88%
2011-2012,Arlington County ,Francis Scott Key Elementary,Mathematics,78.24%
2011-2012,Harrisonburg City ,Skyline Middle,Mathematics,63.79%
2011-2012,Stafford County ,Stafford Elementary,Mathematics,75.90%
2011-2012,Alexandria City ,Douglas Macarthur Elementary,Mathematics,67.77%
2011-2012,Alleghany County ,Callaghan Elementary,Mathematics,52.27%
2011-2012,Appomattox County ,Appomattox Elementary,Mathematics,64.69%
2011-2012,Charles City County ,Charles City County Middle,Mathematics,46.34%
2011-2012,Charlottesville City ,Walker Upper Elementary,Mathematics,73.37%
2011-2012,Chesterfield County ,Matoaca Middle,Mathematics,66.93%
2011-2012,Fairfax County ,Archer Elementary,Mathematics,91.67%
2011-2012,Harrisonburg City ,Smithland Elementary,Mathematics,60.40%
2011-2012,Highland County ,Highland Elementary,Mathematics,58.54%
2011-2012,Hopewell City ,Carter G. Woodson Middle,Mathematics,48.46%
2011-2012,Lancaster County ,Lancaster Middle,Mathematics,52.11%
2011-2012,Loudoun County ,Hillsboro Elementary,Mathematics,56.25%
2011-2012,Page County ,Luray High,Mathematics,64.26%
2011-2012,Petersburg City ,A.P. Hill Elementary,Mathematics,41.13%
2011-2012,Prince William County ,Piney Branch Elementary,Mathematics,74.77%
2011-2012,Roanoke City ,Highland Park Elementary,Mathematics,83.41%
2011-2012,Staunton City ,Shelburne Middle,Mathematics,70.46%
2011-2012,Scott County ,Fort Blackmore Primary,Mathematics,38.89%
2011-2012,Albemarle County ,Broadus Wood Elementary,Mathematics,61.60%
2011-2012,Alexandria City ,George Mason Elementary,Mathematics,70.40%
2011-2012,Arlington County ,Glebe Elementary,Mathematics,83.51%
2011-2012,Bristol City ,Joseph Van Pelt Elementary,Mathematics,65.71%
2011-2012,Charles City County ,Charles City County High,Mathematics,34.34%
2011-2012,Charlotte County ,Eureka Elementary,Mathematics,79.47%
2011-2012,Charlottesville City ,Buford Middle,Mathematics,68.83%
2011-2012,Chesapeake City ,Deep Creek High,Mathematics,61.39%
2011-2012,Fairfax County ,Chesterbrook Elementary,Mathematics,93.73%
2011-2012,Gloucester County ,Botetourt Elementary,Mathematics,72.18%
2011-2012,King George County ,King George Elementary,Mathematics,77.41%
2011-2012,Mathews County ,Thomas Hunter Middle,Mathematics,59.89%
2011-2012,Norfolk City ,Tanners Creek Elementary,Mathematics,51.48%
2011-2012,Richmond City ,Bellevue Elementary,Mathematics,73.08%
2011-2012,Richmond City ,George Mason Elementary,Mathematics,60.78%
2011-2012,Salem City ,Andrew Lewis Middle,Mathematics,74.83%
2011-2012,Tazewell County ,Tazewell Middle,Mathematics,66.94%
2011-2012,Virginia Beach City ,Three Oaks Elementary,Mathematics,65.44%
2011-2012,Williamsburg-James City County ,Toano Middle,Mathematics,84.35%
2011-2012,Wythe County ,Max Meadows Elementary,Mathematics,57.93%
2011-2012,Henrico County ,Glen Allen High,Mathematics,69.52%
2011-2012,Henrico County ,Harvie Elementary,Mathematics,61.54%
2011-2012,Henrico County ,Colonial Trail Elementary,Mathematics,78.31%
2011-2012,Henrico County ,Elko Middle,Mathematics,55.24%
2011-2012,Loudoun County ,Frances Hazel Reid Elementary,Mathematics,79.62%
2011-2012,Newport News City ,Huntington Middle,Mathematics,43.37%
2011-2012,Alexandria City ,Jefferson-Houston Elementary,Mathematics,34.38%
2011-2012,Alleghany County ,Sharon Elementary,Mathematics,86.36%
2011-2012,Arlington County ,Carlin Springs Elementary,Mathematics,70.89%
2011-2012,Augusta County ,S. Gordon Stewart Middle,Mathematics,68.59%
2011-2012,Bristol City ,Washington-Lee Elementary,Mathematics,54.70%
2011-2012,Buchanan County ,Council Elementary/Middle,Mathematics,50.00%
2011-2012,Charlottesville City ,Greenbrier Elementary,Mathematics,91.18%
2011-2012,Chesapeake City ,Camelot Elementary,Mathematics,53.62%
2011-2012,Fairfax County ,Camelot Elementary,Mathematics,87.27%
2011-2012,Fairfax County ,Lake Braddock Secondary,Mathematics,76.10%
2011-2012,Floyd County ,Check Elementary,Mathematics,75.55%
2011-2012,Gloucester County ,Page Middle,Mathematics,62.08%
2011-2012,Henrico County ,Ridge Elementary,Mathematics,63.71%
2011-2012,Lynchburg City ,T.C. Miller Elementary for Innovation,Mathematics,58.42%
2011-2012,Middlesex County ,Middlesex High,Mathematics,31.28%
2011-2012,Richmond City ,Open High,Mathematics,82.14%
2011-2012,Roanoke City ,Wasena Elementary,Mathematics,82.22%
2011-2012,Salem City ,G.W. Carver Elementary,Mathematics,71.43%
2011-2012,Staunton City ,Thomas C. McSwain Elementary,Mathematics,69.59%
2011-2012,Warren County ,A.S. Rhodes Elementary,Mathematics,67.33%
2011-2012,Williamsburg-James City County ,Lafayette High,Mathematics,51.38%
2011-2012,York County ,Coventry Elementary,Mathematics,83.99%
2011-2012,Accomack County ,Chincoteague Elementary,Mathematics,75.00%
2011-2012,Alexandria City ,Lyles-Crouch Elementary,Mathematics,73.86%
2011-2012,Arlington County ,Washington-Lee High,Mathematics,67.71%
2011-2012,Bristol City ,Virginia High,Mathematics,60.20%
2011-2012,Charles City County ,Charles City County Elementary,Mathematics,44.69%
2011-2012,Chesapeake City ,Oscar F. Smith High,Mathematics,47.56%
2011-2012,Fairfax County ,Sherman Elementary,Mathematics,87.03%
2011-2012,Hampton City ,William Mason Cooper Elementary,Mathematics,71.43%
2011-2012,Harrisonburg City ,Thomas Harrison Middle,Mathematics,55.73%
2011-2012,Henrico County ,Short Pump Middle,Mathematics,88.96%
2011-2012,Loudoun County ,Leesburg Elementary,Mathematics,77.06%
2011-2012,Louisa County ,Moss-Nuckols Elementary,Mathematics,41.87%
2011-2012,Manassas City ,Mayfield Intermediate,Mathematics,77.90%
2011-2012,Patrick County ,Woolwine Elementary,Mathematics,80.13%
2011-2012,Prince William County ,Osbourn Park High,Mathematics,63.12%
2011-2012,Suffolk City ,Driver Elementary,Mathematics,78.76%
2011-2012,Virginia Beach City ,Kemps Landing Magnet,Mathematics,95.57%
2011-2012,Williamsburg-James City County ,D.J. Montague Elementary,Mathematics,78.70%
2011-2012,Wise County ,J.W. Adams Combined,Mathematics,77.34%
2011-2012,Greene County ,William Monroe High,Mathematics,58.05%
2011-2012,Greene County ,William Monroe Middle,Mathematics,61.30%
2011-2012,Accomack County ,Nandua High,Mathematics,70.74%
2011-2012,Bristol City ,Stonewall Jackson Elementary,Mathematics,51.85%
2011-2012,Buena Vista City ,F.W. Kling Jr. Elementary,Mathematics,29.17%
2011-2012,Charlottesville City ,Burnley-Moran Elementary,Mathematics,71.43%
2011-2012,Fairfax County ,Forest Edge Elementary,Mathematics,81.53%
2011-2012,Hampton City ,Francis W. Jones Magnet Middle,Mathematics,63.08%
2011-2012,Hanover County ,Cold Harbor Elementary,Mathematics,76.82%
2011-2012,Hopewell City ,Patrick Copeland Elementary,Mathematics,55.27%
2011-2012,Loudoun County ,Meadowland Elementary,Mathematics,69.85%
2011-2012,Orange County ,Lightfoot Elementary,Mathematics,73.26%
2011-2012,Prince William County ,Kerrydale Elementary,Mathematics,64.35%
2011-2012,Roanoke City ,Virginia Heights Elementary,Mathematics,66.89%
2011-2012,Salem City ,Salem High,Mathematics,61.10%
2011-2012,Staunton City ,Bessie Weller Elementary,Mathematics,42.94%
2011-2012,Suffolk City ,Oakland Elementary,Mathematics,82.44%
2011-2012,Virginia Beach City ,Salem High,Mathematics,57.24%
2011-2012,Washington County ,Watauga Elementary,Mathematics,80.16%
2011-2012,Williamsburg-James City County ,Norge Elementary,Mathematics,70.00%
2011-2012,Winchester City ,Daniel Morgan Middle,Mathematics,62.52%
2011-2012,Albemarle County ,Jackson P. Burley Middle,Mathematics,78.96%
2011-2012,Bland County ,Rocky Gap Elementary,Mathematics,67.86%
2011-2012,Buena Vista City ,Parry McCluer High,Mathematics,30.51%
2011-2012,Hanover County ,Atlee High,Mathematics,72.19%
2011-2012,Bland County ,Rocky Gap High,Mathematics,59.03%
2011-2012,Buena Vista City ,Parry McCluer Middle,Mathematics,50.72%
2011-2012,Hanover County ,Chickahominy Middle,Mathematics,89.24%
2011-2012,Alexandria City ,Maury Elementary,Mathematics,72.62%
2011-2012,Augusta County ,Stuarts Draft Middle,Mathematics,72.73%
2011-2012,Bristol City ,Highland View Elementary,Mathematics,32.22%
2011-2012,Campbell County ,Tomahawk Elementary,Mathematics,72.85%
2011-2012,Chesterfield County ,Hopkins Road Elementary,Mathematics,68.68%
2011-2012,Colonial Heights City ,Tussing Elementary,Mathematics,72.67%
2011-2012,Harrisonburg City ,Spotswood Elementary,Mathematics,40.24%
2011-2012,Henrico County ,Short Pump Elementary,Mathematics,87.10%
