DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
OCONEE,"Seneca Middle, 810 West South Fourth Street, Seneca, SC, 29678",SENECA MIDDLE,http://www.oconee.k12.sc.us/SenecaMS.cfm,3701026,MIDD,measle_turquoise,C,75.8,,,75.8,,
OCONEE,"Tamassee-Salem Elementary, 9950 North Highway 11, Tamassee, SC, 29686",TAMASSEE-SALEM ELEMENTARY,http://www.oconee.k12.sc.us/TamasseeES.cfm,3701020,ELEM,small_green,A,99.2,99.2,,,,
OCONEE,"Tamassee-Salem Middle-High, 4 Eagle Lane, Salem, SC, 29676",TAMASSEE-SALEM MIDDLE/HIGH,http://www.oconee.k12.sc.us/TamasseeHS.cfm,3701003,COMBO,small_green,A,93.6,,,93,,95
OCONEE,"Walhalla Elementary, 508 Fowler Road, Walhalla, SC, 29691",WALHALLA ELEMENTARY,http://www.oconee.k12.sc.us/WalhallaES.cfm,3701022,ELEM,small_green,A,91.2,91.2,,,,
OCONEE,"Walhalla High, 151 Razorback Lane, Walhalla, SC, 29691",WALHALLA SENIOR HIGH,http://www.oconee.k12.sc.us/WalhallaHS.cfm,3701007,HIGH,small_green,A,90.6,,,,,90.6
OCONEE,"Walhalla Middle, 177 Razorback Lane, Walhalla, SC, 29691",WALHALLA MIDDLE,http://www.oconee.k12.sc.us/WalhallaMS.cfm,3701006,MIDD,small_yellow,B,86.3,,,86.3,,
OCONEE,"Westminster Elementary, 206 Hamilton Street, Westminster, SC, 29693",WESTMINSTER ELEMENTARY,http://www.oconee.k12.sc.us/Westminster.cfm,3701023,ELEM,small_green,A,91.9,91.9,,,,
OCONEE,"West-Oak High, 130 Warrior Lane, Westminster, SC, 29693",WEST-OAK SENIOR HIGH,http://www.oconee.k12.sc.us/WestOakHS.cfm,3701008,HIGH,small_yellow,B,85,,,,,85
OCONEE,"West Oak Middle, 501 Westminster Highway, Westminster, SC, 29693",WEST OAK MIDDLE,http://www.oconee.k12.sc.us/WestOakMS.cfm,3701030,MIDD,small_yellow,B,84.2,,,84.2,,
FLORENCE 3,"Olanta Elementary, 312 North Jones Road, Olanta, SC, 29114",OLANTA ELEMENTARY,http://www.oes.florence3.k12.sc.us/,2103037,ELEM,small_purple,D,61.7,61.7,,,,
CHARLESTON,"Pattison's Academy for Comprehensive Education, 2014 Bees Ferry Road, Charleston, SC, 29414",PATTISONS ACADEMY FOR COMPREHEN,http://www.pacelearning.org/,1001628,COMBO,measle_brown,No Grade,,,,,,
HORRY,"Palmetto Academy of Learning and Success Charter, 3530 Pampas Drive, Myrtle Beach, SC, 29577",PALMETTO ACADEMY OF LEARNING & S,http://www.palmettoacademy.com/,2601602,COMBO,small_green,A,100,100,,100,,
SC CHARTER SCHOOL,"Palmetto Scholars Academy, 2415 Avenue F, Building 807, North Charleston, SC, 29405",PALMETTO SCHOLARS ACADEMY,http://www.palmettoscholarsacademy.org,4701010,COMBO,small_green,A,100,,,100,,
FLORENCE 1,"Palmetto Youth Academy Charter, 1209 North Douglas Street, Florence, SC 29506, Florence, SC, 29506",PALMETTO YOUTH ACADEMY,http://www.palmettoyouthacademy.com/,2101600,ELEM,measle_brown,No Grade,,,,,,
HORRY,"Palmetto Academy for Learning Motorsports                    , 136 Rodeo Drive, Myrtle Beach, SC, 29579",PALMETTO ACADEMY OF LEARNING MOT,http://www.palmsc.org/welcome/,2601604,HIGH,measle_brown,No Grade,,,,,,
NEWBERRY,"Pomaria-Garmany Elementary, 7288 US Highway 176, Pomaria, SC, 29126",POMARIA/GARMANY ELEMENTARY,http://www.pomaria-garmany.org/,3601009,ELEM,small_green,A,98.6,98.6,,,,
SC CHARTER SCHOOL,"Palmetto State E-cademy, 115 Atrium Way, Suite 200, Columbia, SC, 29223",PALMETTO STATE E-CADEMY,http://www.psecademy.org,4701005,HIGH,small_red,F,15.9,,,,,15.9
FLORENCE 3,"Ronald E. McNair Middle, 311 Carver Street, Lake City, SC, 29560",RONALD E MCNAIR MIDDLE,http://www.remms.florence3.k12.sc.us/,2103028,MIDD,small_purple,D,63.1,,,63.1,,
SALUDA,"Hollywood Elementary, 1261 Hollywood Road, Saluda, SC, 29138",HOLLYWOOD ELEMENTARY,http://www.saludaschools.org/Domain/154,4101010,ELEM,small_green,A,95.2,95.2,,,,
SALUDA,"Saluda Middle, 140 Ivory Key Road, Saluda, SC, 29138",SALUDA MIDDLE,http://www.saludaschools.org/Domain/225,4101005,MIDD,small_yellow,B,83.3,,,83.3,,
SALUDA,"Saluda High, 160 Ivory Key Road, Saluda, SC, 29138",SALUDA HIGH,http://www.saludaschools.org/Domain/300,4101003,HIGH,small_yellow,B,83.8,,,,,83.8
SALUDA,"Saluda Elementary, 400 West Butler Avenue, Saluda, SC, 29138",SALUDA ELEMENTARY,http://www.saludaschools.org/Domain/98,4101006,ELEM,small_yellow,B,89.9,89.9,,,,
GOVERNORS SCHOOL,"Governor's School for the Arts and Humanities, 15 University Street, Greenville, SC, 29601",GOVERNOR'S SCHOOL FOR THE ARTS &,http://www.scgsah.state.sc.us,5364001,HIGH,measle_brown,No Grade,,,,,,
GOVERNORS SCHOOL,"Governor's School for Math and Science, 401 Railroad Avenue, Hartsville, SC, 29550",GOVERNOR'S SCHOOL FOR SCIENCE &,http://www.scgssm.org,5395001,HIGH,measle_brown,No Grade,,,,,,
FELTON LAB,"Felton Laboratory School                                        , 300 College Street, SCSU, Orangeburg, SC, 29117",FELTON LABORATORY SCHOOL,http://www.scsu.edu/felton,5204003,COMBO,small_green,A,99.4,98.5,,100,,
FLORENCE 3,"Scranton Elementary, 1649 US 52 Highway, Scranton, SC, 29591",SCRANTON ELEMENTARY,http://www.ses.florence3.k12.sc.us/,2103039,ELEM,small_purple,D,62.9,62.9,,,,
SPARTANBURG 1,"Campobello-Gramling School, 250 Fagan Avenue, Campobello, SC, 29322",CAMPOBELLO-GRAMLING SCHOOL,http://www.spart1.org/cgs/,4201006,COMBO,small_green,A,92.5,100,,85.8,,
SPARTANBURG 1,"Chapman High, 1420 Compton Bridge Road, Inman, SC, 29349",CHAPMAN HIGH,http://www.spart1.org/chs/ ,4201002,HIGH,small_yellow,B,87.5,,,,,87.5
SPARTANBURG 1,"Holly Springs-Motlow Elementary, 325 Motlow School Road, Campobello, SC, 29322",HOLLY SPRINGS-MOTLOW ELEMENTARY,http://www.spart1.org/hsm/,4201009,COMBO,small_green,A,99.7,100,,99,,
SPARTANBURG 1,"Inman Elementary, 25 Oakland Avenue, Inman, SC, 29349",INMAN ELEMENTARY,http://www.spart1.org/ies/,4201010,ELEM,small_green,A,96.8,96.8,,,,
SPARTANBURG 1,"Inman Intermediate, 10 West Miller Street, Inman, SC, 29349",INMAN INTERMEDIATE,http://www.spart1.org/iis/,4201088,COMBO,small_green,A,98.7,99.2,,98,,
SPARTANBURG 1,"Landrum High, 18818 Asheville Highway, Landrum, SC, 29356",LANDRUM HIGH,http://www.spart1.org/lhs/ ,4201003,HIGH,small_green,A,99.5,,,,,99.5
SPARTANBURG 1,"Landrum Middle, 102 Redland Road, Landrum, SC, 29349",LANDRUM MIDDLE,http://www.spart1.org/lms/,4201087,MIDD,small_green,A,96.2,,,96.2,,
SPARTANBURG 1,"T. E. Mabry Middle, 35 Oakland Avenue, Inman, SC, 29349",T E MABRY MIDDLE,http://www.spart1.org/mms/,4201004,MIDD,small_green,A,90.3,,,90.3,,
SPARTANBURG 1,"New Prospect Elementary, 9251 Highway 9, Inman, SC, 29349",NEW PROSPECT ELEMENTARY,http://www.spart1.org/npe/,4201011,COMBO,small_green,A,100,100,,100,,
SPARTANBURG 1,"O. P. Earle Elementary, 100 Redland Road, Landrum, SC, 29356",O P EARLE ELEMENTARY,http://www.spart1.org/ope/,4201007,ELEM,small_green,A,100,100,,,,
SPARTANBURG 5,"James F. Byrnes High, 150 East Main Street, Duncan, SC, 29334",JAMES F BYRNES HIGH,http://www.spart5.net/bhs/site/default.asp,4205043,HIGH,small_green,A,90.7,,,,,90.7
SPARTANBURG 5,"Berry Shoals Intermediate, 300 Shoals Road, Duncan, SC, 29334",BERRY SHOALS INTERMEDIATE,http://www.spart5.net/brsh/site/default.asp,4205091,COMBO,small_green,A,98,96.7,,99.3,,
SPARTANBURG 5,"Beech Springs Intermediate, 200 South Danzler Road, Duncan, SC, 29334",BEECH SPRINGS INTERMEDIATE,http://www.spart5.net/bsis/site/default.asp,4205089,COMBO,small_yellow,B,89.8,87.7,,91.8,,
SPARTANBURG 5,"Duncan Elementary, 100 South Danzler Road, Duncan, SC, 29334",DUNCAN ELEMENTARY,http://www.spart5.net/des/site/default.asp,4205046,ELEM,small_green,A,93.7,93.7,,,,
SPARTANBURG 5,"Wellford Academy of Science and Techology, 864 Syphrit Road, Wellford, SC, 29385",WELLFORD ACADEMY OF SCIENCE & TE,http://www.spart5.net/Domain/364,4205052,ELEM,small_green,A,100,100,,,,
SPARTANBURG 5,"Florence Chapel Middle, 290 Shoals Road, Duncan, SC, 29334",FLORENCE CHAPEL MIDDLE,http://www.spart5.net/Domain/567,4205092,MIDD,small_green,A,94.9,,,94.9,,
SPARTANBURG 5,"D. R. Hill Middle, 1303 Holly Springs Road, Lyman, SC, 29365",D R HILL MIDDLE,http://www.spart5.net/drh/site/default.asp,4205045,MIDD,small_green,A,91.9,,,91.9,,
SPARTANBURG 5,"Lyman Elementary, 1221 Holly Springs Road, Lyman, SC, 29365",LYMAN ELEMENTARY,http://www.spart5.net/les/site/default.asp,4205095,ELEM,small_yellow,B,84.4,84.4,,,,
SPARTANBURG 5,"River Ridge Elementary, 5960 Reidville Road, Moore, SC, 29369",RIVER RIDGE ELEMENTARY,http://www.spart5.net/rres/site/default.asp,4205090,ELEM,small_green,A,96,96,,,,
SPARTANBURG 5,"Reidville Elementary, 300 College Street, Reidville, SC, 29375",REIDVILLE ELEMENTARY,http://www.spart5.net/rves/site/default.asp,4205049,ELEM,small_green,A,94,94,,,,
SPARTANBURG 5,"Abner Creek Academy, 2050 Abner Creek Road, Duncan, SC, 29334",ABNER CREEK ACADEMY,http://www.spart5.net/site/Default.aspx?PageID=351,4205094,ELEM,small_green,A,99,99,,,,
SPARTANBURG 2,"Boiling Springs Elementary, 700 Double Bridge Road, Boiling Springs, SC, 29316",BOILING SPRINGS ELEMENTARY,http://www.spartanburg2.k12.sc.us/BSE/Index.htm,4202015,ELEM,small_yellow,B,85,85,,,,
SPARTANBURG 2,"Boiling Springs High, 2251 Old Furnace Road, Boiling Springs, SC, 29316",BOILING SPRINGS HIGH,http://www.spartanburg2.k12.sc.us/bsh/index.htm,4202012,HIGH,small_yellow,B,85.7,,,,,85.7
SPARTANBURG 2,"Boiling Springs Intermediate, 2055 Hanging Rock Road, Boiling Springs, SC, 29316",BOILING SPRINGS INTERMEDIATE,http://www.spartanburg2.k12.sc.us/bsi/,4202024,ELEM,small_yellow,B,89.5,89.5,,,,
SPARTANBURG 2,"Boiling Springs Middle, 4801 Highway 9, Inman, SC, 29349",BOILING SPRINGS MIDDLE,http://www.spartanburg2.k12.sc.us/BSJ/index.htm,4202014,MIDD,small_green,A,96.6,,,96.6,,
SPARTANBURG 2,"Chesnee Elementary, 985 Fairfield Road, Chesnee, SC, 29323",CHESNEE ELEMENTARY,http://www.spartanburg2.k12.sc.us/CES/index.htm,4202018,ELEM,small_yellow,B,84.8,84.8,,,,
SPARTANBURG 2,"Carlisle-Foster's Grove Elementary, 625 Foster's Grove Road, Chesnee, SC, 29323",CARLISLE-FOSTERS GROVE ELEMENTA,http://www.spartanburg2.k12.sc.us/cfg/,4202087,ELEM,small_green,A,96.5,96.5,,,,
SPARTANBURG 2,"Chesnee High, 795 South Alabama Avenue, Chesnee, SC, 29323",CHESNEE HIGH,http://www.spartanburg2.k12.sc.us/CHS/Index.html,4202013,HIGH,small_green,A,91.3,,,,,91.3
SPARTANBURG 2,"Chesnee Middle, 805 South Alabama Avenue, Chesnee, SC, 29323",CHESNEE MIDDLE,http://www.spartanburg2.k12.sc.us/CMS/index.htm,4202086,MIDD,small_green,A,94.1,,,94.1,,
SPARTANBURG 2,"Cooley Springs-Fingerville Elementary, 140 Cooley Springs School Road, Chesnee, SC, 29323",COOLEY SPRINGS-FINGERVILLE ELEME,http://www.spartanburg2.k12.sc.us/CSF/index.htm,4202019,ELEM,small_green,A,92.4,92.4,,,,
SPARTANBURG 2,"James H. Hendrix  Elementary, 1084 Springfield Road, Boiling Springs, SC, 29316",JAMES HENDRIX ELEMENTARY,http://www.spartanburg2.k12.sc.us/HES/index.htm,4202020,ELEM,small_green,A,97.3,97.3,,,,
SPARTANBURG 2,"Mayo Elementary, 1300 Springdale Road,, Mayo, SC, 29368",MAYO ELEMENTARY,http://www.spartanburg2.k12.sc.us/MES/index.htm,4202023,ELEM,small_green,A,95,95,,,,
SPARTANBURG 2,"Oakland Elementary, 151 Mud Creek Road, Inman, SC, 29349",OAKLAND ELEMENTARY,http://www.spartanburg2.k12.sc.us/OES/index.htm,4202088,ELEM,small_green,A,94.8,94.8,,,,
SPARTANBURG 2,"Rainbow Lake Middle, 1951 Riveroak Road, Chesnee, SC, 29323",RAINBOW LAKE MIDDLE,http://www.spartanburg2.k12.sc.us/rlm/index.htm ,4202089,MIDD,small_green,A,98.1,,,98.1,,
SC CHARTER SCHOOL,"Spartanburg Charter School, 385 South Spring Street, Spartanburg, SC, 29304",SPARTANBURG CHARTER SCHOOL,http://www.spartanburgcharter.org,4701006,COMBO,small_green,A,97.8,97,,99,,
EDGEFIELD,"Strom Thurmond High, 1131 Columbia Road, Johnston, SC, 29832",STROM THURMOND HIGH,http://www.st.edgefieldcountyschools.org/pages/Strom_THS,1901002,HIGH,small_red,F,59.6,,,,,59.6
HORRY,"Academy of Hope Charter                           , 3521 Juniper Bay Road, Conway, SC, 29527",ACADEMY OF HOPE CHARTER,http://www.theacademyofhope.org/,2601603,ELEM,small_red,F,55,55,,,,
UNION,"Buffalo Elementary, 733 Main Street, Buffalo, SC, 29321",BUFFALO ELEMENTARY,http://www.union.k12.sc.us/bes/bes.htm,4401007,ELEM,small_yellow,B,89.3,89.3,,,,
UNION,"Foster Park Elementary, 901 Arthur Boulevard, Union, SC, 29379",FOSTER PARK ELEMENTARY,http://www.union.k12.sc.us/fes/fes.html,4401012,ELEM,small_yellow,B,80.8,80.8,,,,
UNION,"Jonesville Elementary, 350 New Hope Church Road, Jonesville, SC, 29353",JONESVILLE ELEMENTARY,http://www.union.k12.sc.us/jems/index.html,4401014,COMBO,small_yellow,B,86.2,83,,88.8,,
UNION,"Lockhart School, 212 Lockhart Drive, Lockhart, SC, 29364",LOCKHART SCHOOL,http://www.union.k12.sc.us/lhs/lhs.htm,4401003,COMBO,measle_turquoise,C,77.3,60.1,,90,,
UNION,"Monarch Elementary, 218 Monarch School Drive, Union, SC, 29379",MONARCH ELEMENTARY,http://www.union.k12.sc.us/mes/mes.htm,4401017,ELEM,small_yellow,B,88.2,88.2,,,,
UNION,"Sims Middle, 2200 Whitmire Highway, Union, SC, 29379",SIMS MIDDLE,http://www.union.k12.sc.us/sims/index.html,4401004,MIDD,measle_turquoise,C,76.6,,,76.6,,
UNION,"Union County High, 1163 Lakeside Drive, Union, SC, 29379",UNION COUNTY HIGH,http://www.union.k12.sc.us/uhs/uhs.htm,4401005,HIGH,small_red,F,58.2,,,,,58.2
CLARENDON 3,"Walker-Gamble Elementary, 2358 Walker-Gamble Road, New Zion, SC, 29111",WALKER-GAMBLE ELEMENTARY,http://www.walkergamble.com/,1403019,ELEM,small_green,A,97,97,,,,
WILLIAMSBURG,"Hemingway Elementary, 160 Baxley Road, Hemingway, SC, 29554",HEMINGWAY ELEMENTARY,http://www.wcsd.k12.sc.us/education/components/layout/default.php?sectionid=7&linkid=nav-menu-container-1-66562,4501024,ELEM,small_yellow,B,86.4,86.4,,,,
WILLIAMSBURG,"Greeleyville Elementary, 7 Varner Avenue, Greeleyville, SC, 29056",GREELEYVILLE ELEMENTARY,http://www.wcsd.k12.sc.us/education/components/layout/default.php?sectionid=8&linkid=nav-menu-container-1-66562,4501017,COMBO,small_red,F,59.6,61.9,,53.5,,
WILLIAMSBURG,"Youth Academy Charter, 711 Tomlinson Street, Kingstree, SC, 29556",YOUTH ACADEMY CHARTER,http://www.wcsd.k12.sc.us/education/components/scrapbook/default.php?sectionid=2407&&url_redirect=1,4501612,COMBO,measle_brown,No Grade,,,,,,
WILLIAMSBURG,"Williamsburg Co. Magnet School                    , 710 Third Avenue, Kingstree, SC, 29556",WILLIAMSBURG COUNTY MAGNET SCHOO,http://www.wcsd.k12.sc.us/education/components/scrapbook/default.php?sectionid=4353&linkid=nav-menu-container-1-73632&PHPSESSID=cc44810ba5100f9563ea92f9859642ba,4501026,COMBO,small_purple,D,61.9,65.3,,47,,
WILLIAMSBURG,"Kingstree Middle, 616 Martin Luther King Avenue, Kingstree, SC, 29556",KINGSTREE MIDDLE,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=11&linkid=nav-menu-container-1-66562,4501007,MIDD,small_red,F,28.3,,,28.3,,
WILLIAMSBURG,"Kingstree High, 615 Martin Luther King Avenue, Kingstree, SC, 29556",KINGSTREE SENIOR HIGH,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=12&linkid=nav-menu-container-1-66562,4501008,HIGH,small_red,F,34.2,,,,,34.2
WILLIAMSBURG,"Kenneth Gardner Elementary, 1503 Woodland Drive, Kingstree, SC, 29556",KENNETH GARDNER ELEMENTARY,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=13&linkid=nav-menu-container-1-66562,4501021,ELEM,measle_turquoise,C,78.3,78.3,,,,
WILLIAMSBURG,"Hemingway M.B. Lee  Middle, 400 South Main Street, Hemingway, SC, 29554",HEMINGWAY MIDDLE ANNEX,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=4354&linkid=nav-menu-container-1-66562,4501025,MIDD,small_red,F,17.2,,,17.2,,
WILLIAMSBURG,"C. E. Murray High, 222 C. E. Murray Boulevard, Greeleyville, SC, 29056",C E MURRAY HIGH,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=5&linkid=nav-menu-container-1-66562,4501012,COMBO,small_red,F,58.9,,,45,,85.7
WILLIAMSBURG,"D. P. Cooper Elementary, 4568 Seaboard Road, Salters, SC, 29590",D P COOPER ELEMENTARY,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=6&linkid=nav-menu-container-1-66562,4501011,ELEM,small_red,F,21.9,21.9,,,,
WILLIAMSBURG,"Hemingway High, 402 South Main Street, Hemingway, SC, 29554",HEMINGWAY HIGH,http://www.wcsd.k12.sc.us/education/school/school.php?sectionid=9&linkid=nav-menu-container-1-66562,4501006,HIGH,small_red,F,52.1,,,,,52.1
EDGEFIELD,"W. E. Parker Elementary, 41 Crest Road, Edgefield, SC, 29824",W E PARKER ELEMENTARY,http://www.wep.edgefieldcountyschools.org/pages/W_E_ParkerES,1901007,ELEM,small_yellow,B,88.4,88.4,,,,
BARNWELL 29,"Williston-Elko High, 12233 Main Street, Williston, SC, 29853",WILLISTON-ELKO HIGH,http://www.williston.k12.sc.us/school_home.aspx?schoolid=1,629006,HIGH,small_yellow,B,86.5,,,,,86.5
BARNWELL 29,"Williston-Elko Middle, 12333 Main Street, Williston, SC, 29853",WILLISTON-ELKO MIDDLE,http://www.williston.k12.sc.us/school_home.aspx?schoolid=2,629008,MIDD,small_green,A,95.5,,,95.5,,
BARNWELL 29,"Kelly Edwards Elementary, 1071 Elko Street, Williston, SC, 29853",KELLY EDWARDS ELEMENTARY,http://www.williston.k12.sc.us/school_home.aspx?schoolid=3,629007,ELEM,measle_turquoise,C,74.2,74.2,,,,
YORK 1,"Cotton Belt Elementary, 1176 Black Highway, York, SC, 29745",COTTON BELT ELEMENTARY,http://www.york.k12.sc.us/cbe/,4601047,ELEM,small_green,A,92.3,92.3,,,,
YORK 1,"Harold C. Johnson Elementary                      , 400 East Jefferson Street, York, SC, 29745",HAROLD C JOHNSON ELEMENTARY,http://www.york.k12.sc.us/hcj/,4601049,ELEM,small_purple,D,61.2,61.2,,,,
YORK 1,"Hickory Grove-Sharon Elementary, 4901 Hickory Grove Road, Hickory Grove, SC, 29717",HICKORY GROVE-SHARON ELEMENTARY,http://www.york.k12.sc.us/hgs/,4601045,COMBO,small_yellow,B,86.4,92.6,,66.7,,
YORK 1,"Hunter Street Elementary, 1100 Hunter Street, York, SC, 29745",HUNTER STREET ELEMENTARY,http://www.york.k12.sc.us/hss/,4601046,ELEM,small_green,A,98.9,98.9,,,,
YORK 1,"Jefferson Elementary, 1543 Chester Highway, York, SC, 29745",JEFFERSON ELEMENTARY,http://www.york.k12.sc.us/jes/,4601008,ELEM,measle_turquoise,C,78.4,78.4,,,,
YORK 1,"York Comprehensive High, 275 East Alexander Love Highway, York, SC, 29745",YORK COMPREHENSIVE HIGH,http://www.york.k12.sc.us/ych/,4601003,HIGH,small_purple,D,69.8,,,,,69.8
YORK 1,"York Intermediate, 1280 Johnson Road, York, SC, 29745",YORK INTERMEDIATE,http://www.york.k12.sc.us/yis/,4601048,COMBO,small_yellow,B,84.1,87,,81.1,,
YORK 1,"York Middle, 1010 DeVinney Road, York, SC, 29745",YORK MIDDLE,http://www.york.k12.sc.us/yms/,4601044,MIDD,small_yellow,B,86.2,,,86.2,,
SC CHARTER SCHOOL,"York Preparatory Academy, 505 University Drive, Rock Hill, SC, 29730",YORK PREPARATORY ACADEMY,http://www.yorkprepsc.org,4701011,COMBO,small_yellow,B,86.6,92.1,,81.1,,
YORK 3,"York Road Elementary, 2254 West Main Street, Rock Hill, SC, 29732",YORK ROAD ELEMENTARY,http://yr.rock-hill.k12.sc.us/,4603035,ELEM,measle_turquoise,C,77.9,77.9,,,,
CHARLESTON,"Jerry Zucker Middle School of Science, 6401 Dorchester Road, North Charleston, SC, 29418",JERRY ZUCKER MIDDLE SCHOOL OF SC,http://zucker.ccsdschools.com/,1001111,MIDD,small_red,F,59.6,,,59.6,,
CALHOUN,"Calhoun County High, 150 Saints Avenue, St. Matthews, SC, 29135",CALHOUN COUNTY HIGH,https://sites.google.com/a/ccpsonline.net/cchs/,901001,HIGH,small_yellow,B,89,,,,,89
CALHOUN,"St. Matthews K-8 School, 135 Saints Avenue, St. Matthews, SC, 29135",ST. MATTHEWS ELEMENTARY,https://sites.google.com/a/ccpsonline.net/smk8/,901009,COMBO,small_yellow,B,83.4,81.4,,85.4,,
CALHOUN,"Sandy Run School, 450 Old Swamp Road, Swansea, SC, 29160",SANDY RUN SCHOOL,https://sites.google.com/a/ccpsonline.net/working-on-srs-site/,901008,COMBO,small_yellow,B,84.7,89.2,,80,,
LEXINGTON 2,"R. H. Fulmer Middle, 1614 Walterboro Street, West Columbia, SC, 29170",R H FULMER MIDDLE,https://sites.google.com/a/lex2.org/fms/,3202012,MIDD,small_yellow,B,87.5,,,87.5,,
LEXINGTON 2,"Airport High, 1315 Boston Avenue, West Columbia, SC, 29170",AIRPORT HIGH,https://sites.google.com/a/lex2.org/schools-ahs/,3202009,HIGH,small_purple,D,68.8,,,,,68.8
LEXINGTON 2,"Brookland Cayce Grammar School No. 1 , 114 Hook Avenue, West Columbia, SC, 29169",B-C GRAMMAR NUMBER 1 ELEMENTARY,https://sites.google.com/a/lex2.org/schools-bc1/,3202014,ELEM,measle_turquoise,C,75.4,75.4,,,,
LEXINGTON 2,"Brookland-Cayce Senior High, 1300 State Street, Cayce, SC, 29033",BROOKLAND CAYCE SENIOR HIGH,https://sites.google.com/a/lex2.org/schools-bch/,3202011,HIGH,measle_turquoise,C,75.2,,,,,75.2
LEXINGTON 2,"Cyril B. Busbee Creative Arts Academy, 501 Bulldog Boulevard, Cayce, SC, 29033",CYRIL B BUSBEE CREATIVE ARTS ACA,https://sites.google.com/a/lex2.org/schools-busbee/,3202017,MIDD,small_yellow,B,80.4,,,80.4,,
LEXINGTON 2,"Congaree Elementary, 1221 Ramblin' Road, West Columbia, SC, 29172",CONGAREE ELEMENTARY,https://sites.google.com/a/lex2.org/schools-congaree/,3202019,ELEM,measle_turquoise,C,76.5,76.5,,,,
LEXINGTON 2,"Northside Middle, 157 Cougar Drive, West Columbia, SC, 29169",NORTHSIDE MIDDLE,https://sites.google.com/a/lex2.org/schools-nm/,3202020,MIDD,small_yellow,B,87.1,,,87.1,,
LEXINGTON 2,"Pineview Elementary, 3035 Leaphart Road, West Columbia, SC, 29169",PINEVIEW ELEMENTARY,https://sites.google.com/a/lex2.org/schools-pineview/,3202022,ELEM,measle_turquoise,C,71.3,71.3,,,,
LEXINGTON 2,"Pine Ridge Middle, 735 Pine Ridge Drive, West Columbia, SC, 29172",PINE RIDGE MIDDLE,https://sites.google.com/a/lex2.org/schools-prms/,3202026,MIDD,small_yellow,B,86.1,,,86.1,,
LEXINGTON 2,"Springdale Elementary, 361 Wattling Road, West Columbia, SC, 29170",SPRINGDALE ELEMENTARY,https://sites.google.com/a/lex2.org/schools-spr/,3202024,ELEM,small_yellow,B,87,87,,,,
LEXINGTON 2,"Saluda River Academy for the Arts, 1520 Duke Avenue, West Columbia, SC, 29169",SALUDA RIVER ACADEMY OF ARTS,https://sites.google.com/a/lex2.org/schools-sraa/,3202023,ELEM,small_yellow,B,89.8,89.8,,,,
LEXINGTON 2,"Claude A. Taylor Elementary, 103 Ann Lane, Cayce, SC, 29033",CLAUDE A TAYLOR ELEMENTARY,https://sites.google.com/a/lex2.org/schools-tay/,3202025,ELEM,small_purple,D,68.8,68.8,,,,
LEXINGTON 2,"Herbert A. Wood Elementary, 737 Pine Ridge Drive, West Columbia, SC, 29172",HERBERT A WOOD ELEMENTARY,https://sites.google.com/a/lex2.org/schools-wood/,3202027,ELEM,small_purple,D,66.2,66.2,,,,
FLORENCE 1,"Briggs Elementary, 1012 Congaree Drive, Florence, SC, 29501",BRIGGS ELEMENTARY,https://www.fsd1.org/schools/briggs/Pages/default.aspx,2101008,COMBO,small_yellow,B,88,90.5,,82.2,,
FLORENCE 1,"Carver Elementary, 515 North Cashua Drive, Florence, SC, 29501",CARVER ELEMENTARY,https://www.fsd1.org/schools/carver/Pages/default.aspx,2101009,ELEM,small_green,A,97.6,97.6,,,,
FLORENCE 1,"Delmae Elementary, 1211 South Cashua Drive, Florence, SC, 29501",DELMAE ELEMENTARY,https://www.fsd1.org/schools/delmae/Pages/default.aspx,2101010,ELEM,small_green,A,99.8,99.8,,,,
FLORENCE 1,"Dewey-Carter Elementary, 4937 South Irby Street, Effingham, SC, 29541",DEWEY CARTER ELEMENTARY,https://www.fsd1.org/schools/deweylcarter/Pages/default.aspx,2101019,COMBO,measle_turquoise,C,76.4,79.4,,68.6,,
FLORENCE 1,"Greenwood Elementary, 2300 East Howe Springs Road, Florence, SC, 29505",GREENWOOD ELEMENTARY,https://www.fsd1.org/schools/greenwood/Pages/default.aspx,2101011,COMBO,small_yellow,B,89.6,97.9,,67.9,,
FLORENCE 1,"Theodore Lester Elementary, 3501 East Palmetto Street, Florence, SC, 29506",THEODORE LESTER ELEMENTARY,https://www.fsd1.org/schools/lester/Pages/default.aspx,2101013,COMBO,small_purple,D,66.9,55.4,,96.8,,
FLORENCE 1,"Lucy T. Davis Elementary, 201 Westfield Drive, Florence, SC, 29501",LUCY T. DAVIS ELEMENTARY,https://www.fsd1.org/schools/lucytdavis/Pages/default.aspx,2101051,ELEM,small_green,A,97.5,97.5,,,,
FLORENCE 1,"McLaurin Elementary, 1400 McMillan Lane, Florence, SC, 29506",MCLAURIN ELEMENTARY,https://www.fsd1.org/schools/mclaurin/Pages/default.aspx,2101012,ELEM,measle_turquoise,C,73.6,73.6,,,,
