DISTRICT,ADDRESS,SCHOOL,URL,SCHOOLID,TYPE,Marker_Type,Grade in 2013,POINTTOT,POINTELEMpass,POINTELEMalt,POINTMIDDpass,POINTMIDDalt,POINTHIGH
SPARTANBURG 7,"Jesse Boyd Elementary, 1505 Fernwood-Glendale Road, Spartanburg, SC, 29307",JESSE W BOYD ELEMENTARY,http://boyd.spartanburg7.org/,4207074,ELEM,small_green,A,91.2,91.2,,,,
BARNWELL 45,"Barnwell Primary, 734 Hagood Avenue, Barnwell, SC, 29812",BARNWELL PRIMARY,http://bps.barnwell45.org,645011,ELEM,small_yellow,B,83.9,83.9,,,,
RICHLAND 1,"Bradley Elementary, 3032 Pinebelt Road, Columbia, SC, 29204",BRADLEY ELEMENTARY,http://bradley.richlandone.org/,4001024,ELEM,small_purple,D,68.1,68.1,,,,
BEAUFORT,"Broad River Elementary, 474 Broad River Road, Beaufort, SC, 29906",BROAD RIVER ELEMENTARY,http://bre.beaufort.k12.sc.us/,701010,ELEM,small_purple,D,65.1,65.1,,,,
RICHLAND 1,"Brennen Elementary, 4438 Devereaux Road, Columbia, SC, 29205",BRENNEN ELEMENTARY,http://brennen.richlandone.org/,4001025,ELEM,small_yellow,B,87.4,87.4,,,,
RICHLAND 1,"Brockman Elementary, 2245 Montclair Drive, Columbia, SC, 29206",BROCKMAN ELEMENTARY,http://brockman.richlandone.org/,4001094,ELEM,small_green,A,100,100,,,,
SPARTANBURG 3,"Gettys D. Broome High, 381 Cherry Hill Road, Spartanburg, SC, 29307",BROOME HIGH,http://broome.spartanburg3.org/,4203026,HIGH,measle_turquoise,C,77.7,,,,,77.7
LANCASTER,"Brooklyn Springs Elementary, 1637 Billings Drive, Lancaster, SC, 29720",BROOKLYN SPRINGS ELEMENTARY,http://bses.lancasterscschools.org/home,2901011,ELEM,small_red,F,53.6,53.6,,,,
YORK 4,"Banks Trail Middle, 1640 Banks Road, Fort Mill, SC, 29715",BANKS TRAIL MIDDLE,http://btms.fort-mill.k12.sc.us/home.aspx,4604057,MIDD,small_green,A,93.9,,,93.9,,
CHARLESTON,"Buist Academy, 103 Calhoun Street, Charleston, SC, 29401",BUIST ACADEMY,http://buist.ccsdschools.com/,1001094,COMBO,small_green,A,100,100,,100,,
CHARLESTON,"Burke High, 244 President Street, Charleston, SC, 29403",BURKE HIGH,http://burke.ccsdschools.com/,1001010,COMBO,small_purple,D,66.2,,,78.2,,42.3
CHARLESTON,"Edmund A. Burns Elementary, 3750 Dorchester Road, North Charleston, SC, 29405",EDMUND A BURNS ELEMENTARY,http://burns.ccsdschools.com/ ,1001038,ELEM,small_red,F,54.9,54.9,,,,
RICHLAND 1,"Annie Burnside Elementary, 7300 Patterson Road, Columbia, SC, 29209",ANNIE BURNSIDE ELEMENTARY,http://burnside.richlandone.org/,4001027,ELEM,small_purple,D,66.2,66.2,,,,
RICHLAND 1,"Burton Pack Elementary, 111 Garden Drive, Columbia, SC, 29204",BURTON PACK ELEMENTARY,http://burtonpack.richlandone.org/,4001089,ELEM,small_red,F,58.3,58.3,,,,
AIKEN,"Busbee Corbett Elementary Middle, 20 A. L. Corbett Circle, Wagener, SC, 29164",BUSBEE CORBETT ELEMENTARY MIDDLE,http://busbeecorbett.acps.schoolfusion.us/,201025,COMBO,small_red,F,43.4,35.2,,51.6,,
YORK 3,"Belleview Elementary, 501 Belleview Road, Rock Hill, SC, 29730",BELLEVIEW ELEMENTARY,http://bv.rock-hill.k12.sc.us/,4603020,ELEM,small_green,A,90.5,90.5,,,,
HORRY,"Black Water Middle, 900 East Cox Ferry Road, Conway, SC, 29526",BLACKWATER MIDDLE,http://bwm.horrycountyschools.net/,2601062,MIDD,small_green,A,91.3,,,91.3,,
AIKEN,"Byrd Elementary, 1225 Weldon Way, Graniteville, SC, 29829",BYRD ELEMENTARY,http://byrdel.acps.schoolfusion.us/,201021,ELEM,small_purple,D,64.4,64.4,,,,
SPARTANBURG 3,"Cannons Elementary, 1315 Old Converse Road, Spartanburg, SC, 29307",CANNONS ELEMENTARY,http://cannons.spartanburg3.org/,4203028,ELEM,small_green,A,97.4,97.4,,,,
CHARLESTON,"Thomas C. Cario Middle, 3500 Thomas Cario Boulevard, Mt. Pleasant, SC, 29466",THOMAS C. CARIO MIDDLE,http://cario.ccsdschools.com/,1001103,MIDD,small_green,A,92.3,,,92.3,,
SPARTANBURG 7,"Carver Middle, 467 South Church Street, Spartanburg, SC, 29306",CARVER MIDDLE,http://carver.spartanburg7.org/,4207068,MIDD,small_red,F,42.2,,,42.2,,
