Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"HORIZONS ELEMENTARY SCHOOL , LAKE WORTH, FL, 33463-2297",                                                                                                    ,53,POLK,1362,HORIZONS ELEMENTARY SCHOOL,473,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,NO,1,66,52,4,NO,N
"RUBEN DARIO MIDDLE SCHOOL , LAUDERHILL, FL, 33313-0000",                                                                                                    ,13,DADE,6121,RUBEN DARIO MIDDLE SCHOOL,560,900,YES,small_purple,D,D,C,C,C,C,C,B,C,B,C,C,C,C,D,NO,1,88,61,4,YES,N
"HORACE MANN MIDDLE SCHOOL , LAUDERHILL, FL, 33313-2323",                                                                                                    ,13,DADE,6411,HORACE MANN MIDDLE SCHOOL,450,900,NA,small_purple,D,F,D,C,C,C,C,C,C,C,C,C,C,C,D,NO,2,93,82,4,YES,N
"GLADES MIDDLE SCHOOL , LAUDERHILL, FL, 33313-2392",                                                                                                    ,13,DADE,6211,GLADES MIDDLE SCHOOL,563,900,NA,small_purple,D,C,C,A,A,A,B,A,A,A,A,A,B,A,B,NO,1,84,43,4,YES,N
"POLK PRE-COLLEGIATE ACADEMY , LECANTO, FL, 34461-8334",                                                                                                    ,53,POLK,8002,POLK PRE-COLLEGIATE ACADEMY,705,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NO,2,18,16,3,NO,N
"SOMERSET ARTS ACADEMY , MELBOURNE, FL, 32901-3198",                                                                                                    ,13,DADE,2012,SOMERSET ARTS ACADEMY,492,800,NA,small_purple,D,C,C,C,F,D,C,C,D,D,D,C,D,F,D,NO,1,98,99,5,YES,N
"TRAFALGAR ELEMENTARY SCHOOL , MIAMI BEACH, FL, 33139-8105",                                                                                                    ,36,LEE,762,TRAFALGAR ELEMENTARY SCHOOL,579,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,B,B,B,C,A,D,NO,1,72,70,5,YES,N
"BRADEN RIVER HIGH SCHOOL , MIAMI BEACH, FL, 33139-8105",                                                                                                    ,41,MANATEE,762,BRADEN RIVER HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,A,A,A,B,A,A,A,A,A,A,B,C,C,NO,1,88,98,5,YES,N
"SANDPIPER SHORES ELEMENTARY SCHOOL , MIAMI, FL, 33142-3624",                                                                                                    ,50,PALM BEACH,1961,SANDPIPER SHORES ELEMENTARY SCHOOL,540,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,N,,,YES,4,22,16,3,NO,N
"LAKEVIEW FUNDAMENTAL ELEMENTARY , MIAMI, FL, 33142-3624",                                                                                                    ,52,PINELLAS,1961,LAKEVIEW FUNDAMENTAL ELEMENTARY,605,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,NO,2,49,73,5,NO,N
"DISCOVERY ACADEMY OF LAKE ALFRED , MIAMI, FL, 33142-3624",                                                                                                    ,53,POLK,1961,DISCOVERY ACADEMY OF LAKE ALFRED,560,900,YES,small_green,A,A,A,A,A,A,A,A,B,A,A,A,B,C,C,NO,1,60,38,2,YES,N
"CAROL CITY ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,13,DADE,681,CAROL CITY ELEMENTARY SCHOOL,434,800,NA,small_purple,D,C,B,C,A,A,C,A,B,B,B,B,C,D,D,NO,1,98,98,5,YES,N
"VENETIA ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,16,DUVAL,681,VENETIA ELEMENTARY SCHOOL,502,800,NA,measle_turquoise,C,,,,,,,,,,,,,,,YES,4,64,77,5,NO,N
"CAHOON ELEMENTARY MAGNET SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,29,HILLSBOROUGH,681,CAHOON ELEMENTARY MAGNET SCHOOL,543,800,NA,measle_turquoise,C,B,B,B,B,C,D,C,C,C,C,F,D,A,D,NO,1,47,55,4,NO,N
"SPRING CREEK ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,36,LEE,681,SPRING CREEK ELEMENTARY SCHOOL,493,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,B,C,A,C,NO,1,46,58,5,NO,N
"TARA ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,41,MANATEE,681,TARA ELEMENTARY SCHOOL,435,800,YES,small_yellow,B,A,A,A,A,B,A,A,A,A,A,A,A,A,C,NO,1,81,88,5,YES,N
"SADDLEWOOD ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,42,MARION,681,SADDLEWOOD ELEMENTARY SCHOOL,496,800,NA,small_yellow,B,C,C,C,B,C,C,B,A,B,A,B,C,A,C,NO,1,80,52,1,YES,N
"LONGWOOD ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,46,OKALOOSA,681,LONGWOOD ELEMENTARY SCHOOL,480,800,NA,small_yellow,B,A,A,A,,A,A,,A,A,,N,,,,YES,1,58,44,3,NO,N
"ENGELWOOD ELEMENTARY , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,48,ORANGE,681,ENGELWOOD ELEMENTARY,467,800,NA,small_yellow,B,B,A,A,A,A,A,A,A,A,A,A,C,B,C,NO,1,52,42,1,YES,N
"NORTH GRADE ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,50,PALM BEACH,681,NORTH GRADE ELEMENTARY SCHOOL,549,800,NA,small_yellow,B,A,A,B,A,A,A,A,A,B,A,A,A,A,C,NO,1,70,25,2,YES,N
"WAHNETA ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,53,POLK,681,WAHNETA ELEMENTARY SCHOOL,414,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,NO,1,10,19,4,NO,N
"STENSTROM ELEMENTARY SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,59,SEMINOLE,681,STENSTROM ELEMENTARY SCHOOL,509,800,NA,small_green,A,B,A,B,A,A,A,A,B,A,A,C,A,A,B,NO,1,47,19,2,YES,N
"NORTHWEST FLORIDA BALLET ACADEMIE , OCALA, FL, 34479-2900",                                                                                                    ,46,OKALOOSA,9818,NORTHWEST FLORIDA BALLET ACADEMIE,657,900,NA,small_yellow,B,A,A,A,A,A,,,,,,,,,,NO,1,48,44,3,NO,N
"DRIFTWOOD ELEMENTARY SCHOOL , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,6,BROWARD,721,DRIFTWOOD ELEMENTARY SCHOOL,473,800,NA,measle_gray,Pending,A,B,A,A,A,B,A,A,B,A,A,C,C,C,NO,3,35,52,4,NO,N
"GEORGE W. CARVER ELEMENTARY SCHOOL , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,13,DADE,721,GEORGE W. CARVER ELEMENTARY SCHOOL,450,800,NA,small_purple,D,C,C,D,D,C,F,B,C,B,C,C,D,D,F,NO,1,99,98,5,YES,N
"SPRING PARK ELEMENTARY SCHOOL , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,16,DUVAL,721,SPRING PARK ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,C,C,,,,,,,,,,,,,YES,4,32,38,5,NO,N
"MARINER HIGH SCHOOL , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,36,LEE,721,MARINER HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,C,B,B,C,C,B,C,C,C,C,C,C,D,NO,2,88,97,5,YES,N
"LAKEWOOD RANCH HIGH SCHOOL , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,41,MANATEE,721,LAKEWOOD RANCH HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,A,A,A,A,B,A,A,A,C,B,A,C,C,NO,1,72,96,5,NO,N
"HORIZON ACADEMY AT MARION OAKS , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,42,MARION,721,HORIZON ACADEMY AT MARION OAKS,490,900,YES,small_yellow,B,A,A,C,A,A,B,A,A,A,A,,,,,YES,1,77,23,1,YES,N
"OKALOOSA COUNTY STEM CENTER , PANAMA CITY BEACH, FL, 32407-3224",                                                                                                    ,46,OKALOOSA,721,OKALOOSA COUNTY STEM CENTER,597,800,NA,small_yellow,B,A,A,A,A,A,A,A,B,C,C,N,,,,YES,2,68,45,3,NO,N
