School Year,Division,School,Subject Area,Pass Rate,School Code,Correct,Address
2011-2012,Henrico County ,John Rolfe Middle,Mathematics,49.53%,360,No Exact Location,"John Rolfe Middle, Henrico County , VA"
2011-2012,Fairfax County ,West Potomac High,Mathematics,49.61%,1010,No Exact Location,"West Potomac High, Fairfax County , VA"
2011-2012,Fauquier County ,Kettle Run High,Mathematics,49.61%,690,No Exact Location,"Kettle Run High, Fauquier County , VA"
2011-2012,Smyth County ,Marion Senior High,Mathematics,49.63%,500,No Exact Location,"Marion Senior High, Smyth County , VA"
2011-2012,Richmond City ,Lucille M. Brown Middle,Mathematics,49.65%,9997,No Exact Location,"Lucille M. Brown Middle, Richmond City , VA"
2011-2012,Grayson County ,Grayson County High,Mathematics,49.69%,1031,No Exact Location,"Grayson County High, Grayson County , VA"
2011-2012,Fredericksburg City ,James Monroe High,Mathematics,49.71%,800,No Exact Location,"James Monroe High, Fredericksburg City , VA"
2011-2012,Newport News City ,T. Ryland Sanford Elementary,Mathematics,49.81%,871,No Exact Location,"T. Ryland Sanford Elementary, Newport News City , VA"
2011-2012,Richmond City ,George W. Carver Elementary,Mathematics,50.00%,30,No Exact Location,"George W. Carver Elementary, Richmond City , VA"
2011-2012,Greensville County ,Greensville County High,Mathematics,50.00%,10,No Exact Location,"Greensville County High, Greensville County , VA"
2011-2012,Prince George County ,Prince George High,Mathematics,50.06%,70,No Exact Location,"Prince George High, Prince George County , VA"
2011-2012,Roanoke County ,William Byrd High,Mathematics,50.11%,1010,No Exact Location,"William Byrd High, Roanoke County , VA"
2011-2012,Loudoun County ,Sterling Middle,Mathematics,50.16%,871,No Exact Location,"Sterling Middle, Loudoun County , VA"
2011-2012,Norfolk City ,Camp Allen Elementary,Mathematics,50.29%,620,No Exact Location,"Camp Allen Elementary, Norfolk City , VA"
2011-2012,Hampton City ,A.W.E. Bassette Elementary,Mathematics,50.30%,#N/A,No Exact Location,"A.W.E. Bassette Elementary, Hampton City , VA"
2011-2012,Frederick County ,James Wood High,Mathematics,50.36%,800,No Exact Location,"James Wood High, Frederick County , VA"
2011-2012,Fairfax County ,Bucknell Elementary,Mathematics,50.43%,700,No Exact Location,"Bucknell Elementary, Fairfax County , VA"
2011-2012,Virginia Beach City ,Point O' View Elementary,Mathematics,50.43%,70,No Exact Location,"Point O' View Elementary, Virginia Beach City , VA"
2011-2012,Giles County ,Narrows High,Mathematics,50.79%,500,No Exact Location,"Narrows High, Giles County , VA"
2011-2012,Prince William County ,West Gate Elementary,Mathematics,50.89%,1010,No Exact Location,"West Gate Elementary, Prince William County , VA"
2011-2012,Hanover County ,Lee Davis High,Mathematics,50.92%,970,No Exact Location,"Lee Davis High, Hanover County , VA"
2011-2012,Richmond City ,Chimborazo Elementary,Mathematics,50.93%,100,No Exact Location,"Chimborazo Elementary, Richmond City , VA"
2011-2012,Virginia Beach City ,Windsor Woods Elementary,Mathematics,50.98%,1010,No Exact Location,"Windsor Woods Elementary, Virginia Beach City , VA"
2011-2012,Wise County ,Union High,Mathematics,51.13%,1010,No Exact Location,"Union High, Wise County , VA"
2011-2012,Newport News City ,Lee Hall Elementary,Mathematics,51.24%,970,No Exact Location,"Lee Hall Elementary, Newport News City , VA"
2011-2012,Williamsburg-James City County ,Lafayette High,Mathematics,51.38%,580,No Exact Location,"Lafayette High, Williamsburg-James City County , VA"
2011-2012,Isle of Wight County ,Smithfield High,Mathematics,51.42%,50,No Exact Location,"Smithfield High, Isle of Wight County , VA"
2011-2012,Richmond City ,G.H. Reid Elementary,Mathematics,51.45%,30,No Exact Location,"G.H. Reid Elementary, Richmond City , VA"
2011-2012,Tazewell County ,Richlands Elementary,Mathematics,51.45%,50,No Exact Location,"Richlands Elementary, Tazewell County , VA"
2011-2012,Giles County ,Giles High,Mathematics,51.45%,30,No Exact Location,"Giles High, Giles County , VA"
2011-2012,Norfolk City ,Tanners Creek Elementary,Mathematics,51.48%,871,No Exact Location,"Tanners Creek Elementary, Norfolk City , VA"
2011-2012,Richmond City ,Thomas C. Boushall Middle,Mathematics,51.50%,871,No Exact Location,"Thomas C. Boushall Middle, Richmond City , VA"
2011-2012,Henrico County ,Charles M. Johnson Elementary,Mathematics,51.61%,2445,No Exact Location,"Charles M. Johnson Elementary, Henrico County , VA"
2011-2012,King William County ,King William High,Mathematics,51.72%,690,No Exact Location,"King William High, King William County , VA"
