School Year,Division,School,Subject Area,Pass Rate,School Code,Address,Correct
2011-2012,Bristol City ,Virginia Middle,Mathematics,61.70%,1010,"Virginia Middle, 501 Piedmont Avenue, Bristol, VA, 24201",Exact Location
2011-2012,Albemarle County ,Virginia L. Murray Elementary,Mathematics,85.38%,1010,"Virginia L. Murray Elementary, 3251 Morgantown Road, Charlottesville, VA, 22903",Exact Location
2011-2012,Bristol City ,Virginia High,Mathematics,60.20%,1010,"Virginia High, 1200 Long Crescent Dr, Bristol, VA, 24201",Exact Location
2011-2012,Augusta County ,Verona Elementary,Mathematics,68.52%,1010,"Verona Elementary, 1011 Lee Hwy, Verona, VA, 24482",Exact Location
2011-2012,Charlottesville City ,Venable Elementary,Mathematics,82.69%,1010,"Venable Elementary, 406 14th Street NW, Charlottesville, VA, 22903",Exact Location
2011-2012,Bath County ,Valley Elementary,Mathematics,55.63%,1010,"Valley Elementary, 98 Panther Drive, Hot Springs, VA, 24445",Exact Location
2011-2012,Buchanan County ,Twin Valley High,Mathematics,52.61%,871,"Twin Valley High, 14449 Dismal River Road, Pilgrim Knob, VA, 24634",Exact Location
2011-2012,Buchanan County ,Twin Valley Elementary/Middle,Mathematics,49.15%,871,"Twin Valley Elementary/Middle, 9017 Riverside Drive, Oakwood, VA, 24631",Exact Location
2011-2012,Colonial Heights City ,Tussing Elementary,Mathematics,72.67%,871,"Tussing Elementary, 5501 Conduit Rd, Colonial Heights, VA, 23834",Exact Location
2011-2012,Arlington County ,Tuckahoe Elementary,Mathematics,86.58%,871,"Tuckahoe Elementary, 6550 26th St N, Arlington, VA, 22213",Exact Location
2011-2012,Henrico County ,Tuckahoe Elementary,Mathematics,83.77%,871,"Tuckahoe Elementary, 6550 26th St N, Arlington, VA, 22213",Exact Location
2011-2012,Chesapeake City ,Truitt Intermediate,Mathematics,53.36%,871,"Truitt Intermediate, 1100 Holly Ave, Chesapeake, VA, 23324",Exact Location
2011-2012,Botetourt County ,Troutville Elementary,Mathematics,66.05%,871,"Troutville Elementary, 12 Barron Dr, Troutville, VA, 24175",Exact Location
2011-2012,Brunswick County ,Totaro Elementary,Mathematics,64.71%,871,"Totaro Elementary, 19350 Christanna Highway, Lawrenceville, VA, 23868",Exact Location
2011-2012,Campbell County ,Tomahawk Elementary,Mathematics,72.85%,871,"Tomahawk Elementary, 155 Bee Drive, Lynchburg, VA, 24502",Exact Location
2011-2012,Chesterfield County ,Tomahawk Creek Middle,Mathematics,89.05%,871,"Tomahawk Creek Middle, 1600 Learning Place Loop, Midlothian, VA, 23114",Exact Location
2011-2012,Chesapeake City ,Thurgood Marshall Elementary,Mathematics,42.99%,871,"Thurgood Marshall Elementary, 2706 Border Road, Chesapeake, VA, 23324",Exact Location
2011-2012,Prince William County ,Thurgood Marshall Elementary,Mathematics,86.38%,871,"Thurgood Marshall Elementary, 2706 Border Road, Chesapeake, VA, 23324",Exact Location
2011-2012,Bedford County ,Thomas Jefferson Elementary,Mathematics,62.46%,871,"Thomas Jefferson Elementary, 1255 Patriot Place, Forest, VA, 24551",Exact Location
