Address,LEVEL,CODE,NAME,Title I Status,# Targets Passed/Eval,Classification,Marker_Type,"""TOTAL
POINTS
/100""
","% PROF
/30","SUBGROUP
GAPS
/30","PROG TO
2017 TARGET
/10","% IN
DISTINCTION
/5","STUDENT
GROWTH
/25","HS
GRADUATION
/20","HS SCALED SCORE
CHANGE
/5"
"Stadium School, 100 Crescent Avenue, Cranston, RI 02910",Elementary School,07120,Stadium School,Y,15/18,Typical,small_purple,55.00,14.00,19.50,4.00,2.50,15.00,,
"Joseph H. Gaudet Learning Academy, 1113 Aquidneck Ave., Middletown, RI 02842",Elementary School,19117,Joseph H. Gaudet Learning Academy,Y,12/12,Typical,small_purple,55.17,14.00,16.50,10.00,3.00,11.67,,
"Norwood School, 266 Norwood Avenue, Warwick, RI 02888",Elementary School,35101,Norwood School,Y,12/12,Typical,small_purple,55.33,15.00,19.50,4.00,3.50,13.33,,
"Fishing Cove Elementary School, 110 Wickford Point Road, North Kingstown, RI 02852",Elementary School,23109,Fishing Cove Elementary School, ,12/12,Typical,small_purple,55.33,17.00,16.50,5.00,3.50,13.33,,
"Colt Andrews School, 570-574 Hope Street, Bristol, RI 02809",Elementary School,96105,Colt Andrews School,Y,14/14,Typical,small_purple,55.33,16.00,21.00,2.00,3.00,13.33,,
"Tiverton High School, 100 North Brayton Road, Tiverton, RI 02878",High School,33108,Tiverton High School, ,11/13,Typical,small_purple,55.33,14.00,19.50,3.00,3.00,,13.33,2.50
"75 Carpenter St  Providence, RI 02903",High School,28167,Urban Collaborative Accelerated Program, , ,Typical,small_purple,55.50,12.00,21.00,6.00,1.50,15.00,,
"Lincoln Central Elementary School, 1081 Great Road, Lincoln, RI 02865",Elementary School,17109,Lincoln Central Elementary School, ,12/12,Typical,small_purple,55.50,18.00,21.00,3.00,3.50,10.00,,
"Melville Elementary School, 1351 West Main Road, Portsmouth, RI 02871",Elementary School,27111,Melville Elementary School, ,10/10,Typical,small_purple,56.00,19.00,21.00,2.00,4.00,10.00,,
"Fallon Memorial School, 62 Lincoln Avenue, Pawtucket, RI 02861",Elementary School,26113,Fallon Memorial School,Y,16/18,Typical,small_purple,56.00,11.00,18.00,5.00,2.00,20.00,,
"Vartan Gregorian Elementary School, 455 Wickenden St., Providence, RI 02903",Elementary School,28151,Vartan Gregorian Elementary School,Y,10/16,Typical,small_purple,56.17,12.00,21.00,3.00,3.50,16.67,,
"Cottrell F. Hoxsie School, 55 Glenwood Drive, Warwick, RI 02889",Elementary School,35136,Cottrell F. Hoxsie School,Y,12/12,Typical,small_purple,56.17,14.00,21.00,2.00,2.50,16.67,,
"325 Public St., Providence, RI 02905",High School,28703,Metropolitan Regional Career and Technic,Y,12/17,Typical,small_purple,56.33,13.00,21.00,4.00,1.50,,13.33,3.50
"Warwick Veterans Memorial HS, 2401 West Shore Road, Warwick, RI 02889",High School,35130,Warwick Veterans Memorial HS, ,11/13,Typical,small_purple,56.33,12.00,18.00,7.00,2.00,,13.33,4.00
"Woonsocket High School, 777 Cass Avenue, Woonsocket, RI 02895",High School,39123,Woonsocket High School, ,14/17,Typical,small_purple,56.50,12.00,21.00,8.00,2.00,,10.00,3.50
"William D'Abate Elementary School, 60 Kossuth Street, Providence, RI 02909",Elementary School,28153,William D'Abate Elementary School,Y,16/16,Typical,small_purple,56.50,12.00,22.50,5.00,2.00,15.00,,
"Pleasant View School, 50 Obediah Brown Road, Providence, RI 02909",Elementary School,28165,Pleasant View School,Y,16/16,Priority,small_purple,56.50,10.00,19.50,10.00,2.00,15.00,,
"Lonsdale Elementary School, 270 River Road, Lincoln, RI 02865",Elementary School,17106,Lonsdale Elementary School, , 9/12,Typical,small_purple,56.50,17.00,19.50,2.00,3.00,15.00,,
"Chester W. Barrows School, 9 Beachmont Avenue, Cranston, RI 02905",Elementary School,07112,Chester W. Barrows School,Y, 9/10,Typical,small_purple,56.50,18.00,24.00,2.00,2.50,10.00,,
"Samuel Slater Junior High School, 281 Mineral Spring Avenue, Pawtucket, RI 02860",Middle School,26106,Samuel Slater Junior High School,Y,12/18,Typical,small_purple,56.67,12.00,21.00,5.00,2.00,16.67,,
"Walter E. Ranger School, 278 North Brayton Road, Tiverton, RI 02878",Elementary School,33105,Walter E. Ranger School, ,12/12,Typical,small_purple,56.83,18.00,18.00,4.00,3.50,13.33,,
"Pilgrim High School, 111 Pilgrim Parkway, Warwick, RI 02888",High School,35134,Pilgrim High School, , 9/13,Typical,small_purple,56.83,14.00,22.50,2.00,2.00,,13.33,3.00
"Gorton Junior High School, 69 Draper Avenue, Warwick, RI 02889",Middle School,35120,Gorton Junior High School, ,12/12,Typical,small_purple,57.33,15.00,22.50,9.00,2.50,8.33,,
"Central Falls Senior High School, 24 Summer Street, Central Falls, RI 02863",High School,04108,Central Falls Senior High School,Y, 8/15,Priority,small_purple,57.50,10.00,25.50,7.00,1.50,,10.00,3.50
"Edward S. Rhodes School, 160 Shaw Avenue, Cranston, RI 02905",Elementary School,07117,Edward S. Rhodes School, ,14/14,Typical,small_purple,57.67,15.00,18.00,4.00,4.00,16.67,,
"Birchwood Middle School, 10 Birchwood Drive, North Providence, RI 02904",Middle School,24112,Birchwood Middle School, ,14/16,Typical,small_purple,57.83,12.00,21.00,9.00,2.50,13.33,,
"Vincent J. Gallagher Middle School, 10 Indian Run Trail, Smithfield, RI 02917",Middle School,31109,Vincent J. Gallagher Middle School, ,12/12,Typical,small_purple,57.83,18.00,18.00,10.00,3.50,8.33,,
"E-Cubed Academy, 812 Branch Avenue, Providence, RI 02904",High School,28187,E-Cubed Academy,Y, 6/ 9,Typical,small_purple,58.00,12.00,24.00,7.00,2.00,,10.00,3.00
"Globe Park School, 192 Avenue A, Woonsocket, RI 02895",Elementary School,39119,Globe Park School,Y,15/16,Typical,small_purple,58.17,16.00,22.50,5.00,3.00,11.67,,
"West Glocester Elementary, 111 Reynolds Road/Rte 94, Chepachet, RI 02814",Elementary School,13104,West Glocester Elementary,Y, 7/ 8,Typical,small_purple,58.33,15.00,18.00,9.00,3.00,13.33,,
"Potter-Burns School, 973 Newport Avenue, Pawtucket, RI 02861",Elementary School,26110,Potter-Burns School,Y,16/16,Typical,small_purple,58.33,14.00,21.00,8.00,2.00,13.33,,
"Daniel D. Waterman School, 722 Pontiac Avenue, Cranston, RI 02910",Elementary School,07110,Daniel D. Waterman School, ,14/14,Typical,small_purple,58.50,16.00,21.00,9.00,2.50,10.00,,
"Agnes E. Little School, 60 South Bend Street, Pawtucket, RI 02860",Elementary School,26122,Agnes E. Little School,Y,16/18,Typical,small_purple,58.50,13.00,19.50,9.00,2.00,15.00,,
"North Scituate Elementary School, 46 Institute Lane, North Scituate, RI 02857",Elementary School,30106,North Scituate Elementary School, , 8/12,Typical,small_purple,58.67,19.00,22.50,2.00,3.50,11.67,,
"Guiteras School, 35 Washington Street, Bristol, RI 02809",Elementary School,96104,Guiteras School, ,12/12,Typical,small_purple,58.83,18.00,21.00,2.00,4.50,13.33,,
"Winman Junior High School, 575 Centerville Road, Warwick, RI 02886",Middle School,35139,Winman Junior High School, ,12/12,Typical,small_purple,59.00,16.00,22.50,7.00,3.50,10.00,,
"Frenchtown School, 1100 Frenchtown Road, East Greenwich, RI 02818",Elementary School,09105,Frenchtown School,Y, 6/10,Typical,small_purple,59.00,19.00,24.00,2.00,4.00,10.00,,
"Edgewood Highland School, 160 Pawtuxet Avenue, Cranston, RI 02905",Elementary School,07130,Edgewood Highland School,Y,16/16,Typical,small_purple,59.00,14.00,18.00,5.00,2.00,20.00,,
"East Providence High School, 2000 Pawtucket Avenue, East Providence, RI 02914",High School,10112,East Providence High School, , 7/15,Typical,small_purple,59.00,15.00,21.00,8.00,2.00,,10.00,3.00
