School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score
2012,721,Richmond County,1052,Butler High School,"09, 10, 11, 12",H,33.8,8.4,10.3,0,0,0,52.5
2012,721,Richmond County,4064,Wheeless Road Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.7,7.5,3.8,0.5,0,0.5,52.5
2012,644,DeKalb County,0606,Gateway to College Academy,"10, 11, 12",H,38.4,6.3,NA,0,0,0,52.6
2012,721,Richmond County,0190,Collins Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,37.5,8.6,6,0.5,0,0.5,52.6
2012,761,Atlanta Public Schools,4568,Washington High School Senior Academy,"10, 11, 12",H,35.4,7.5,7.5,1,1.5,2.5,52.9
2012,631,Clayton County,2052,North Clayton High School,"09, 10, 11, 12",H,38.2,8.2,6.6,0,0,0,53
2012,644,DeKalb County,3061,Meadowview Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.1,7.4,4.5,1,0,1,53
2012,761,Atlanta Public Schools,0121,Coretta Scott King Young Women's Academy High School,"09, 10",H,37.4,8.2,7.5,0,0,0,53.1
2012,647,Dougherty County,3062,Turner Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38,7.3,7.5,0.5,0,0.5,53.3
2012,721,Richmond County,3050,Bayvale Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.5,8.4,4.5,0,0,0,53.4
2012,706,Muscogee County,0200,"Martin Luther King, Jr. Elementary School","PK, KK, 01, 02, 03, 04, 05",E,35.7,10.1,6.8,1,0,1,53.6
2012,743,Twiggs County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,37.9,8.2,7.5,0,0,0,53.6
2012,755,Whitfield County,0112,Coahulla Creek High School,"09, 10, 11, 12",H,38.3,7.8,6.6,0,0.9,0.9,53.6
2012,761,Atlanta Public Schools,1068,Towns Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.9,7.1,3.8,1.5,1.3,2.8,53.6
2012,647,Dougherty County,5062,West Town Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.3,7.9,6,0.5,0,0.5,53.7
2012,785,Rome City,1054,Southeast Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06",E,38.9,8.5,4.5,0.5,1.3,1.8,53.7
2012,644,DeKalb County,0107,Flat Rock Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.1,7.2,7.5,1,0,1,53.8
2012,701,Mitchell County,0198,South Mitchell County Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.2,7.4,6.8,0.5,0,0.5,53.9
2012,761,Atlanta Public Schools,0203,Herndon Elementary ,"PK, KK, 01, 02, 03, 04, 05",E,33.4,7,13.5,0,0,0,53.9
2012,625,Chatham County,4056,Haven Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.8,5.7,4.5,1,0,1,54
2012,670,Hancock County,0288,Hancock Central High School,"09, 10, 11, 12",H,42.3,6.9,3.8,0,1,1,54
2012,670,Hancock County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,42.3,6.9,3.8,0,1,1,54
2012,743,Twiggs County,0201,Twiggs County High School,"09, 10, 11, 12",H,38.3,8.2,7.5,0,0,0,54
2012,7820512,State Charter Schools- Ivy Preparatory Young Mens Leadership Academy School,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06",E,42.2,8.3,3.8,0,0,0,54.3
2012,7820512,State Charter Schools- Ivy Preparatory Young Mens Leadership Academy School,0512,Ivy Preparatory Young Men's Leadership Academy School,"KK, 01, 02, 03, 04, 05, 06",E,42.2,8.3,3.8,0,0,0,54.3
2012,726,Spalding County,1750,Beaverbrook Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.8,8.3,5.3,1,0,1,54.4
2012,660,Fulton County,0291,Creekside High School,"09, 10, 11, 12",H,37.4,8.9,8.4,0,0,0,54.7
2012,761,Atlanta Public Schools,1064,Kimberly Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.8,7.4,7.5,1,0,1,54.7
2012,761,Atlanta Public Schools,0306,School of Technology at Carver,"09, 10, 11, 12",H,34.8,9.2,7.5,0.5,2.7,3.2,54.7
2012,669,Hall County,5052,Lyman Hall Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.6,7.2,4.5,0.5,0,0.5,54.8
2012,706,Muscogee County,1062,Georgetown Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.4,8.1,6.8,1.5,0,1.5,54.8
2012,706,Muscogee County,3068,St. Marys Video and Communication Technology,"PK, KK, 01, 02, 03, 04, 05",E,38.2,8.3,6.8,1.5,0,1.5,54.8
2012,729,Sumter County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,40.3,8.5,5.3,0,0.7,0.7,54.8
2012,611,Bibb County,3067,Ingram/Pye Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39.6,7.5,6.8,1,0,1,54.9
2012,721,Richmond County,0104,Wilkinson Gardens Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.2,9,3.8,0,1.9,1.9,54.9
2012,761,Atlanta Public Schools,5562,Humphries Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.3,9,5.3,1,1.3,2.3,54.9
2012,611,Bibb County,0107,Bloomfield Middle School,"06, 07, 08",M,38.8,8.9,6.8,0.5,0,0.5,55
2012,648,Douglas County,0212,New Manchester High School,"09, 10, 11, 12",H,37.1,8.7,7.5,0,1.7,1.7,55
2012,706,Muscogee County,0180,Marshall Middle School,"06, 07, 08",M,40.4,8.1,6,0.5,0,0.5,55
2012,611,Bibb County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,38.4,8.3,8.4,0,0,0,55.1
2012,647,Dougherty County,3058,Northside Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.2,7.2,5.3,0.5,0,0.5,55.2
2012,761,Atlanta Public Schools,0186,"Maynard H. Jackson, Jr. High School","09, 10, 11, 12",H,37,7,11.3,0,0,0,55.3
2012,647,Dougherty County,1050,Albany High School,"09, 10, 11, 12",H,38.3,8.1,8.4,0,0.6,0.6,55.4
2012,761,Atlanta Public Schools,0288,Price Middle School,"06, 07, 08",M,36,7.6,11.3,0.5,0,0.5,55.4
2012,761,Atlanta Public Schools,0296,Perkerson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,35.1,9.4,10.5,0.5,0,0.5,55.5
2012,761,Atlanta Public Schools,0504,Harper-Archer Middle School,"06, 07, 08",M,38.4,7.4,9.8,0,0,0,55.6
2012,761,Atlanta Public Schools,4058,Douglass High School,"09, 10, 11, 12",H,34.9,8.9,11.3,0,0.5,0.5,55.6
2012,761,Atlanta Public Schools,5566,F. L. Stanton Elementary School,"KK, 01, 02, 03, 04, 05",E,36,7.8,11.3,0.5,0,0.5,55.6
2012,761,Atlanta Public Schools,1053,Boyd Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.5,11.1,4.5,0.5,1,1.5,55.6
2012,611,Bibb County,0705,Union Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,39,8.4,8.3,0,0,0,55.7
2012,721,Richmond County,3756,Josey High School,"09, 10, 11, 12",H,33.7,8.9,13.1,0,0,0,55.7
2012,706,Muscogee County,0192,Brewer Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,36.6,8.4,9.8,1,0,1,55.8
2012,721,Richmond County,5566,Laney High School,"09, 10, 11, 12",H,35.9,9.8,9.4,0,0.7,0.7,55.8
2012,726,Spalding County,1550,Atkinson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,38.4,8.9,7.5,1,0,1,55.8
2012,647,Dougherty County,0101,Albany Middle School,"06, 07, 08",M,37.4,8.7,9.8,0,0,0,55.9
2012,644,DeKalb County,4069,Towers High School,"09, 10, 11, 12",H,34.2,9.2,12.2,0,0.5,0.5,56.1
2012,721,Richmond County,0184,Morgan Road Middle School,"06, 07, 08",M,42.5,7.8,5.3,0.5,0,0.5,56.1
2012,721,Richmond County,0190,Collins Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",E,37.5,9.1,9,0.5,0,0.5,56.1
2012,761,Atlanta Public Schools,3569,Whitefoord Elementary School,"KK, 01, 02, 03, 04, 05",E,40.4,6.2,6,0.5,3,3.5,56.1
2012,706,Muscogee County,5069,Wesley Heights Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.7,6.5,7.5,1.5,0,1.5,56.2
2012,652,Elbert County,0177,Blackwell Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.3,7.2,8.3,0.5,0,0.5,56.3
2012,733,Taylor County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,39.6,8.8,6.6,0,1.3,1.3,56.3
2012,749,Warren County,3050,Freeman Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,40.6,8.9,6.8,0,0,0,56.3
2012,749,Warren County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,40.6,8.9,6.8,0,0,0,56.3
