School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,658,Forsyth County,219,i-Achieve Academy,"06, 07, 08, 09, 10, 11, 12",M,56.7,7,NA,0,,0,small_blue,74.9,"i-Achieve Academy, 1130 Dahlonega Hwy, Cumming, GA, 30040-4536"
2012,689,Liberty County,101,Midway Middle School,"06, 07, 08",M,52.9,9.4,9,1,2.8,3.8,measle_turquoise,75.1,"Midway Middle School, 425 Edgewater Dr , Midway, GA, 31320-4286"
2012,644,DeKalb County,311,Leadership Preparatory Academy,"KK, 01, 02, 03, 04, 05, 06",M,50.9,8.9,NA,1,3.8,4.8,measle_turquoise,75.2,"Leadership Preparatory Academy, 6400 Woodrow Rd, Lithonia, GA, 30038-2437"
2012,660,Fulton County,603,Sandy Springs Middle School,"06, 07, 08",M,51,9.2,12,0.5,2.5,3,measle_turquoise,75.2,"Sandy Springs Middle School, 8750 Colonel Dr , Atlanta, GA, 30350-2505"
2012,707,Newton County,117,Clements Middle School,"06, 07, 08",M,51.3,10.6,9.8,0.5,3.2,3.7,measle_turquoise,75.4,"Clements Middle School, 66 Jack Neely Rd, Covington, GA, 30016-8831"
2012,715,Polk County,103,Cedartown Middle School,"06, 07, 08",M,53,8.7,11.3,0.5,2,2.5,measle_turquoise,75.5,"Cedartown Middle School, 612 S College St , Cedartown, GA, 30125-3522"
2012,660,Fulton County,605,Hapeville Charter Middle School,"06, 07, 08",M,52.4,8.7,9.8,0,4.7,4.7,measle_turquoise,75.6,"Hapeville Charter Middle School, 3510 Atlanta Ave, Hapeville, GA, 30354-1704"
2012,7820612,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,612,Ivy Prep Academy at Kirkwood for Girls School,"KK, 01, 02, 03, 04, 05, 06",M,52.6,9.8,11.3,0,2.5,2.5,measle_turquoise,76.2,"Ivy Prep Academy at Kirkwood for Girls School, 1807 Memorial Dr SE, Atlanta, GA, 30317-2103"
2012,633,Cobb County,309,Lindley 6th Grade Academy,6,M,46.9,9.8,14.3,0.5,4.8,5.3,measle_turquoise,76.3,"Lindley 6th Grade Academy, 1550 Pebblebrook Cir SE, Mableton, GA, 30126-2750"
2012,644,DeKalb County,203,Lithonia Middle School,"06, 07, 08",M,51.1,10.1,12.8,0.5,1.8,2.3,measle_turquoise,76.3,"Lithonia Middle School, 2451 Randall Ave, Lithonia, GA, 30058-4673"
