Mailing Address,District Name,School Name,2011-2012 Rating,Performance Indicators,Marker_Type,Performance Index,4-Year Graduation Rate,5-Year Graduation Rate,Value-Added: All Students,Value-Added: Gifted Students,Value-Added: Lowest 20% in Achievement,Value-Added: Students with Disabilities,Annual Measurable Objectives,District IRN,School IRN,2011 PI Score,School IRN,School IRN
"Brook Elem, 58601 Marietta Rd, Byesville, OH, 43723",Rolling Hills Local,Brook Elementary School,Continuous Improvement,F,small_red,C,-,-,C,F,C,C,F,047308,004218,85.27227723,004218,4218
"Academy Multilingual Immersion, 1908 Seymour Ave, Cincinnati, OH, 45237",Cincinnati City,Academy for Multilingual Immersion Studies,Continuous Improvement*,F,small_red,C,-,-,B,-,C,F,F,043752,145581,81.29370629,145581,145581
"Carson Elem, 4323 Glenway Ave, Cincinnati, OH, 45205",Cincinnati City,Carson Elementary School,Effective*,F,small_red,C,-,-,A,-,B,C,F,043752,139873,78.44660194,139873,139873
"College Hill Elem, 1625 Cedar Ave, Cincinnati, OH, 45224",Cincinnati City,College Hill Fundamental Academy,Excellent*,F,small_red,C,-,-,A,D,C,B,F,043752,006932,91.29533679,006932,6932
"John P Parker Elem, 5051 Anderson Pl, Cincinnati, OH, 45227",Cincinnati City,John P Parker Elementary School,Effective*,F,small_red,C,-,-,A,-,A,D,F,043752,021857,79.43636364,021857,21857
"Winton Montessori Elem, 4750 Winton Rd, Cincinnati, OH, 45232",Cincinnati City,Parker Woods Montessori,Effective*,F,small_red,C,-,-,A,-,B,A,F,043752,041863,81.72494172,041863,41863
"Sayler Park Elem, 6607 Hillside Ave, Cincinnati, OH, 45233",Cincinnati City,Sayler Park Elementary School,Continuous Improvement*,F,small_red,C,-,-,B,-,D,D,F,043752,033688,88.95377129,033688,33688
"Silverton Paideia Elem, 6829 Stewart Rd, Cincinnati, OH, 45236",Cincinnati City,Silverton Paideia Elementary School,Effective*,F,small_red,C,-,-,A,-,A,B,C,043752,034629,83.02690583,034629,34629
"South Avondale Elem, 636 Prospect Pl, Cincinnati, OH, 45229",Cincinnati City,South Avondale Elementary School,Excellent*,F,small_red,C,-,-,A,-,A,A,A,043752,033134,81.68918919,033134,33134
"Winton Hills Academy Elem, 5300 Winneste Ave, Cincinnati, OH, 45232",Cincinnati City,Winton Hills Academy Elementary School,Continuous Improvement*,F,small_red,C,-,-,C,-,F,D,F,043752,041855,84.67871486,041855,41855
