School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,CCRPI Score,Marker_Type,address
2012,660,Fulton County,3064,Parklane Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.5,8.7,6.8,1,2,3,64,small_purple,"Parklane Elementary School, 2809 Blount St, East Point, GA, 30344-3732"
2012,644,DeKalb County,181,Eldridge L. Miller Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.2,8.1,6,1,2.8,3.8,64.1,small_purple,"Eldridge L. Miller Elementary School, 919 Martin Rd, Stone Mountain, GA, 30088-2110"
2012,633,Cobb County,1066,Norton Park Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.6,10.3,6,0.5,3.8,4.3,64.2,small_purple,"Norton Park Elementary School, 3041 Gray Rd SE , Smyrna, GA, 30082-1927"
2012,644,DeKalb County,3069,Toney Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.4,8.5,12.8,0.5,0,0.5,64.2,small_purple,"Toney Elementary School, 2701 Oakland Ter, Decatur, GA, 30032-5516"
2012,675,Henry County,291,Oakland Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.5,7.8,7.5,0,3.4,3.4,64.2,small_purple,"Oakland Elementary School, 551 Highway 81 W, Mcdonough, GA, 30253-6412"
2012,660,Fulton County,503,Liberty Point Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.8,8.6,10.5,0.5,0.9,1.4,64.3,small_purple,"Liberty Point Elementary School, 9000 Highpoint Rd, Union City, GA, 30291-1094"
2012,660,Fulton County,290,Tubman Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48,8.2,5.3,1,1.9,2.9,64.4,small_purple,"Tubman Elementary School, 2861 Lakeshore Dr, College Park, GA, 30337-4419"
2012,660,Fulton County,390,Randolph Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.4,8.2,7.5,0.5,0,0.5,64.6,small_purple,"Randolph Elementary School, 5320 Campbellton Rd SW, Atlanta, GA, 30331-7714"
2012,633,Cobb County,173,Birney Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.6,10,7.5,0.5,1.1,1.6,64.7,small_purple,"Birney Elementary School, 775 Smyrna Powder Springs Rd SW, Marietta, GA, 30060-5111"
2012,660,Fulton County,273,S. L. Lewis Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.4,8.9,7.5,1,0,1,64.8,small_purple,"S. L. Lewis Elementary School, 6201 Connell Rd, College Park, GA, 30349-4425"
2012,625,Chatham County,2068,Spencer Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47,8.7,6.8,1.5,1,2.5,65,small_blue,"Spencer Elementary School, 100 Bouhan Ave , Savannah, GA, 31404-1708"
2012,644,DeKalb County,3055,Dunaire Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.6,8.5,7.5,0.5,1.9,2.4,65,small_blue,"Dunaire Elementary School, 651 S Indian Creek Dr , Stone Mountain, GA, 30083-4435"
2012,644,DeKalb County,191,Browns Mill Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.4,7.4,6,1.5,0.8,2.3,65.1,small_blue,"Browns Mill Elementary School, 4863 Browns Mill Rd, Lithonia, GA, 30038-2606"
2012,625,Chatham County,197,Garden City Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49,8,6.8,1,0.6,1.6,65.4,small_blue,"Garden City Elementary School, 4037 Kessler Ave , Garden City, GA, 31408-2664"
2012,625,Chatham County,1070,White Bluff Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.8,7.9,6.8,1,0.9,1.9,65.4,small_blue,"White Bluff Elementary School, 9902 White Bluff Rd , Savannah, GA, 31406-5625"
2012,660,Fulton County,276,Gullatt Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.7,9,6.8,0,1,1,65.5,small_blue,"Gullatt Elementary School, 6110 Dodson Rd, Union City, GA, 30291-1212"
2012,633,Cobb County,4560,Hollydale Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,44.5,9.4,6.8,1,4,5,65.7,small_blue,"Hollydale Elementary School, 2901 Bay Berry Dr SW, Marietta, GA, 30008-5605"
2012,644,DeKalb County,275,Cedar Grove Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.3,7.9,10.5,1,0,1,65.7,small_blue,"Cedar Grove Elementary School, 2330 River Rd , Ellenwood, GA, 30294-1128"
2012,644,DeKalb County,475,Bob Mathis Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.3,9.4,7.5,0.5,0,0.5,65.7,small_blue,"Bob Mathis Elementary School, 3505 Boring Rd, Decatur, GA, 30034-4406"
2012,648,Douglas County,298,Sweetwater Elementary School,"KK, 01, 02, 03, 04, 05",E,45.9,9.6,10.5,0,0,0,66,small_blue,"Sweetwater Elementary School, 2505 E County Line Rd, Lithia Springs, GA, 30122-2714"
2012,669,Hall County,106,Chicopee Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.4,7.2,10.5,1,1.9,2.9,66,small_blue,"Chicopee Elementary School, 2029 Calvary Church Rd , Gainesville, GA, 30507-8339"
2012,644,DeKalb County,293,Shadow Rock Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,43.3,9.8,12,0.5,0.8,1.3,66.4,small_blue,"Shadow Rock Elementary School, 1040 King Way Dr, Lithonia, GA, 30058-6114"
2012,633,Cobb County,1068,Sky View Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,45.8,9.7,7.5,0.5,3,3.5,66.5,small_blue,"Sky View Elementary School, 5805 Dunn Rd SW, Mableton, GA, 30126-4009"
2012,669,Hall County,5056,Tadmore Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.2,8,8.3,0.5,2.5,3,66.5,small_blue,"Tadmore Elementary School, 3278 Gillsville Hwy, Gainesville, GA, 30507-9415"
2012,648,Douglas County,2050,Beulah Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.3,7.8,9.8,1,1.7,2.7,66.6,small_blue,"Beulah Elementary School, 1150 S Burnt Hickory Rd , Douglasville, GA, 30134-2906"
2012,715,Polk County,210,Van Wert Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.7,8.6,8.3,0,0,0,66.6,small_blue,"Van Wert Elementary School, 370 Atlanta Hwy, Rockmart, GA, 30153-2817"
2012,644,DeKalb County,1055,Dresden Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,49.8,8.4,6.8,0.5,1.3,1.8,66.8,small_blue,"Dresden Elementary School, 2449 Dresden Dr, Chamblee, GA, 30341-5218"
2012,707,Newton County,111,South Salem Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.2,8.8,7.5,1,1.4,2.4,66.9,small_blue,"South Salem Elementary School, 5335 Salem Rd, Covington, GA, 30016-7919"
2012,644,DeKalb County,272,Rockbridge Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.3,10.1,8.3,0.5,0,0.5,67.2,small_blue,"Rockbridge Elementary School, 445 Halwick Way , Stone Mountain, GA, 30083-4381"
2012,644,DeKalb County,3065,Rock Chapel Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,48.7,9.7,8.3,0.5,0,0.5,67.2,small_blue,"Rock Chapel Elementary School, 1130 Rock Chapel Rd , Lithonia, GA, 30058-5886"
2012,644,DeKalb County,575,Stone Mill Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,46.7,9.3,10.5,1,0,1,67.5,small_blue,"Stone Mill Elementary School, 4900 Sheila Ln, Stone Mountain, GA, 30083-2124"
2012,7820110,State Charter Schools- Odyssey School,110,Odyssey School,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10",E,52.6,8.1,6.8,0,0,0,67.5,small_blue,"Odyssey School, 14 St. Johns Circle , Newnan, GA, 30263"
2012,648,Douglas County,203,New Manchester Elementary School,"KK, 01, 02, 03, 04, 05",E,47.4,8.5,9.8,0.5,1.6,2.1,67.8,small_blue,"New Manchester Elementary School, 2242 Old Lower River Rd, Douglasville, GA, 30135-3076"
2012,629,Clarke County,291,Howard B. Stroud Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.7,10.1,7.5,0,2.6,2.6,67.9,small_blue,"Howard B. Stroud Elementary School, 715 Fourth St , Athens, GA, 30601-2276"
2012,629,Clarke County,2062,Winterville Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,50.3,7.5,8.3,0,1.8,1.8,67.9,small_blue,"Winterville Elementary School, 305 Cherokee Rd , Winterville, GA, 30683-1504"
